"","sample","tissue","endometriosis","severity","p215800_at","p219597_s_at","DUOX1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.859239,11.678133,10.768686
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.306679,9.872877,8.589778
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.41762,5.051995,4.7348075
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.756845,7.559674,6.1582595
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.790575,7.426476,7.1085255
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.984584,6.778318,5.881451
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.80275,6.701889,5.7523195
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.984584,6.877896,5.93124
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.7583,10.050258,9.404279
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.798621,5.998186,5.8984035
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.310561,6.344334,5.8274475
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.653743,6.663657,5.6587
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.904313,7.865492,6.3849025
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.751203,5.237205,4.994204
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.72954,8.640382,7.184961
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.826935,8.332231,6.579583
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.338172,9.275011,7.3065915
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.819411,6.778318,6.2988645
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.598767,4.500996,4.5498815
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.922927,9.160262,7.5415945
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.658768,10.851935,9.7553515
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.827039,8.440863,6.633951
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.473545,9.758068,8.1158065
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.696638,9.620958,7.658798
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.066785,9.236694,7.6517395
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.25798,13.746234,12.502107
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.773618,7.939412,7.356515
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.549097,8.382351,6.965724
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.673923,13.880286,12.2771045
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.7727,7.306746,6.539723
