"","sample","tissue","endometriosis","severity","p1558976_x_at","p225874_at","UBALD1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.549393,6.570401,5.559897
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.286677,6.570401,5.428539
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.203634,6.570401,5.3870175
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.378648,6.610939,5.4947935
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.521829,6.59234,5.5570845
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.286677,6.570401,5.428539
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.402567,6.570401,5.486484
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.334402,6.519544,5.426973
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.286677,6.570401,5.428539
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.402567,6.570401,5.486484
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.203634,6.570401,5.3870175
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.286677,6.570401,5.428539
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.334402,6.679866,5.507134
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.286677,6.410847,5.348762
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.023239,6.570401,5.29682
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.3806,6.570401,5.4755005
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.286677,6.65408,5.4703785
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.047144,6.570401,5.8087725
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.958231,6.570401,5.764316
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.345542,8.583975,7.9647585
