"","sample","tissue","endometriosis","severity","p201645_at","p216005_at","TNC"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.813505,3.146101,5.979803
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.345201,3.146101,5.745651
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.400985,4.557476,7.4792305
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.448529,2.49374,4.9711345
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.602183,3.191612,6.8968975
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.710519,2.727743,5.719131
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.635924,2.744618,4.690271
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.566648,3.389922,6.978285
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.937909,2.414172,5.6760405
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.196537,3.023987,6.110262
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.850845,5.682332,8.7665885
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.814855,3.743827,6.779341
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.937551,3.975532,6.4565415
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.3686,7.320224,9.844412
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.636467,3.568157,6.602312
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.66902,2.7033,5.18616
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.104333,3.024858,4.5645955
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.131597,3.672763,6.40218
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.813461,2.85321,5.8333355
