"","sample","tissue","endometriosis","severity","p396_f_at","p209963_s_at","p209962_at","EPOR"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.042419,4.24761,5.397627,4.89588533333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.380578,4.676946,5.753223,5.60358233333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.909981,4.217118,5.01444,5.71384633333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.143214,5.86867,7.462005,6.82462966666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.284777,4.301719,6.029459,5.53865166666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.331086,6.035837,7.888491,7.085138
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.209488,3.881986,6.296416,6.12929666666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.006638,4.303053,5.753223,5.35430466666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.146241,4.217118,6.128677,5.49734533333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.440696,5.730458,7.230503,6.80055233333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.867831,4.24761,5.38219,5.165877
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.28368,4.329743,6.100443,5.57128866666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.265838,5.796446,7.38813,6.81680466666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.640063,4.781785,5.351823,5.25789033333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.262089,4.799074,6.376536,5.479233
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.214805,5.387793,7.08176,6.22811933333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.808545,5.277376,6.962408,6.01610966666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.596801,5.172983,7.124403,6.29806233333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.433784,4.095536,6.468352,5.66589066666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.01695,4.24761,5.404427,4.22299566666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.879741,4.273798,4.507553,3.88703066666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.21761,5.094581,6.339492,4.88389433333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.809934,5.090783,6.550075,5.81693066666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.409254,5.661021,6.358746,5.47634033333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.21761,5.49219,6.064156,4.924652
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.903033,5.399679,7.016372,5.773028
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.01695,5.668232,7.252517,5.31256633333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.36789,4.341806,5.753223,4.48763966666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.01695,5.176067,5.753223,4.64874666666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.486579,5.156952,6.540028,5.39451966666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.01695,5.329673,5.922268,4.756297
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.398263,5.396981,6.355389,5.38354433333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.406497,6.401939,7.560035,6.78949033333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.347491,5.93185,6.985744,6.421695
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.504254,3.933411,4.448864,3.628843
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.21761,5.074371,4.906673,4.39955133333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.614431,4.217118,5.982114,4.60455433333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.879774,3.695455,4.449138,3.674789
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.939004,4.928403,5.031174,4.299527
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.724226,5.595253,7.271812,5.53043033333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.879145,4.171532,4.87013,3.97360233333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.720411,5.70852,7.926092,6.78500766666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.01695,4.526674,5.368702,4.30410866666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.128561,4.121307,5.38219,4.210686
