"","sample","tissue","endometriosis","severity","p213187_x_at","p212788_x_at","FTL"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.587796,13.513784,13.05079
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.608097,13.561455,13.084776
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.468201,14.323832,13.8960165
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.019259,13.390056,13.2046575
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.544002,13.88627,13.715136
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.494299,13.279221,12.88676
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.29026,13.513394,12.901827
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.242986,13.997499,13.6202425
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.207578,13.741645,13.4746115
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.125642,13.547748,13.336695
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.875257,13.524158,13.1997075
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.570708,14.052152,13.81143
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.77774,13.804034,13.290887
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.637837,14.238205,13.938021
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.231207,13.871641,13.551424
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.390492,13.882384,13.636438
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.646099,13.574606,13.1103525
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.525004,13.201235,12.8631195
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.846221,13.351229,13.098725
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.231484,14.667903,14.4496935
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.051172,14.456791,14.2539815
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.038211,14.38162,14.2099155
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.336807,14.927636,14.6322215
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.994862,14.587168,14.291015
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.099881,14.579888,14.3398845
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.306818,14.635298,14.471058
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.61942,15.022927,14.8211735
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.051324,14.451311,14.2513175
