"","sample","tissue","endometriosis","severity","p38269_at","p209282_at","PRKD2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.892556,6.964938,7.428747
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.695203,6.51978,7.1074915
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.077555,6.66964,7.3735975
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.864618,7.65155,8.258084
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.179316,6.873842,7.526579
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.565562,7.280428,7.922995
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.615647,7.260444,7.9380455
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.107825,7.609272,8.3585485
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.353833,7.309291,7.831562
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.500525,7.390982,7.9457535
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.272195,6.726088,7.4991415
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.480448,7.415665,7.9480565
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.194951,7.342057,7.768504
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.823659,7.009933,7.916796
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.191783,7.237511,7.714647
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.847393,7.584172,8.2157825
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.782937,7.292046,8.0374915
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.325128,7.176745,7.7509365
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.160615,7.226973,7.693794
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.526839,9.402057,9.964448
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.031923,8.722032,9.3769775
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.238484,9.168316,9.7034
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.551882,9.693554,10.122718
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.511413,9.267918,9.8896655
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.594908,9.513634,10.054271
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.537508,9.385479,9.9614935
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.381908,9.129804,9.755856
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.189522,9.292184,9.740853
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.831482,8.940776,9.386129
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.582314,9.335106,9.95871
