"","sample","tissue","endometriosis","severity","p223776_x_at","p224809_x_at","TINF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.681061,9.068382,8.8747215
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.427056,9.139621,9.2833385
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.122752,8.836339,8.9795455
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.260218,9.322379,9.2912985
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.643823,8.605143,8.624483
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.050785,9.188337,9.119561
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.101126,9.085555,9.0933405
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.001532,9.673126,9.337329
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.079593,8.980105,9.029849
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.259266,9.386366,9.322816
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.705434,9.153593,8.9295135
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.522627,8.983151,8.752889
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.425651,9.294587,8.860119
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.909845,8.899392,8.9046185
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.054598,8.858985,8.9567915
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.943255,9.262945,9.1031
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.93215,9.594172,9.263161
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.388646,9.65361,9.521128
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.142221,9.363077,9.252649
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.356358,10.010809,9.6835835
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.554953,9.981586,9.7682695
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.624899,10.296581,9.96074
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.306514,9.953827,9.6301705
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.640608,10.258308,9.949458
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.603426,10.160589,9.8820075
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.337211,9.968463,9.652837
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.444121,9.396764,8.9204425
