"","sample","tissue","endometriosis","severity","p235410_at","p235432_at","NPHP3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.280123,9.137837,8.70898
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.307406,8.472967,8.3901865
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.361288,7.395998,6.878643
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.001343,8.339685,8.170514
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.860193,9.115689,8.987941
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.767601,8.561023,8.164312
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.80898,6.827269,6.3181245
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.863966,7.768493,7.8162295
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.46229,9.863257,9.1627735
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.669067,7.750106,7.7095865
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.287604,8.465735,7.8766695
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.932543,8.748327,8.340435
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.336789,7.692234,7.5145115
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.707719,8.611732,8.1597255
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.869737,9.719381,9.294559
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.719797,8.726773,8.223285
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.332285,9.005335,8.66881
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.964192,8.690452,7.827322
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.435482,9.021866,8.228674
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.990023,6.243715,6.116869
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.404497,6.743768,6.5741325
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.139748,5.475952,4.80785
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.976054,3.804686,4.89037
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.452845,5.330303,4.891574
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.015524,4.827456,4.92149
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.492794,4.596961,5.5448775
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.358261,5.335829,4.347045
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.385061,6.117826,6.2514435
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.606137,5.122005,5.864071
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.221291,5.330303,5.275797
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.55191,4.878144,4.215027
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.341494,2.946323,4.1439085
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.358261,3.4602,3.4092305
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.303369,3.117823,3.710596
