"","sample","tissue","endometriosis","severity","p201465_s_at","p201466_s_at","JUN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.995655,10.843353,9.419504
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.119964,11.596776,11.35837
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.696136,11.86756,11.281848
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.637328,11.285618,10.461473
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.47653,9.047288,7.761909
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.626221,10.8236,9.7249105
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.339972,10.234019,9.7869955
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.729122,10.554896,9.642009
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.977918,8.677264,7.827591
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.811565,12.342323,11.576944
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.419741,7.186154,6.3029475
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.975716,11.053358,10.014537
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.574832,10.838539,10.7066855
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.213014,9.378895,8.2959545
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.270513,9.526269,8.398391
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.068395,9.522377,8.295386
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.584666,10.234538,8.409602
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.412484,10.065363,9.2389235
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.828572,9.970822,9.399697
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.936552,10.291492,10.114022
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.035471,10.935378,10.4854245
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.524392,10.968344,10.746368
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.526749,10.474632,11.0006905
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.570032,10.302386,9.436209
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.291822,9.791428,9.541625
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.821456,10.135269,9.9783625
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.668503,8.622502,8.1455025
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.368938,11.934659,11.6517985
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.580573,11.633908,11.1072405
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.029313,10.244576,9.1369445
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.182238,11.283338,11.232788
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.260509,12.33357,11.7970395
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.553898,7.64523,8.599564
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.05035,8.722545,8.8864475
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.055008,11.37896,10.716984
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.12388,10.202314,10.663097
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.852825,9.506273,9.679549
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.505373,11.236883,10.371128
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.690845,10.35683,10.0238375
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.106892,9.59897,9.852931
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.90001,11.530488,11.215249
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.233042,8.822434,8.027738
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.304874,12.272219,11.7885465
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.159502,12.240135,11.6998185
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.451171,11.697518,11.5743445
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.480093,10.697087,10.08859
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.789897,10.699283,9.74459
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.81152,10.194536,10.003028
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.167558,10.154365,10.1609615
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.975716,8.928685,8.9522005
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.139406,10.840598,10.990002
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.367051,9.847217,9.107134
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.674631,7.757394,7.7160125
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.60888,7.661033,7.6349565
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.436613,9.753057,9.094835
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.211825,10.054405,9.133115
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.180608,9.135164,9.157886
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.400681,9.919597,9.660139
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.189862,10.61243,9.901146
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.708644,10.134105,9.4213745
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.264633,9.154361,8.709497
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.167068,10.757455,9.4622615
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.975716,9.965322,9.470519
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.233949,8.776214,8.0050815
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.693256,11.073632,10.383444
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.003076,10.22466,10.113868
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.351652,8.998828,8.67524
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.250486,9.130028,8.690257
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.511464,9.547084,9.029274
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.970903,8.799441,8.385172
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.718166,9.163305,8.9407355
