"","sample","tissue","endometriosis","severity","p215175_at","p213159_at","p229287_at","PCNX1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.582282,3.580273,7.26598,5.47617833333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.531468,4.237402,6.69947,5.48944666666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.272397,6.110762,5.963234,5.11546433333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.647761,4.131002,7.418946,5.39923633333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.387919,4.70925,6.869685,5.32228466666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.272397,4.131002,6.556544,4.65331433333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.331675,5.07031,5.631552,5.011179
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.748042,5.985483,7.450237,6.39458733333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.295333,5.746463,8.225813,6.75586966666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.262062,4.708322,7.059947,5.676777
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.483087,4.131002,6.819926,5.478005
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.407877,4.131598,7.308895,5.94945666666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.647761,5.220237,6.147967,5.338655
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.285631,5.328588,7.182462,5.26556033333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.375345,4.131002,7.574144,5.693497
