"","sample","tissue","endometriosis","severity","p1552667_a_at","p226673_at","SH2D3C"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.581217,6.264557,5.422887
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.587505,4.870941,4.729223
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.713673,5.55576,5.1347165
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,6.116091,5.3765995
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.736653,6.819432,5.7780425
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.605105,6.148752,5.3769285
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,6.429077,5.5330925
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.581217,6.132053,5.356635
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.530791,6.380801,5.455796
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.866552,6.417519,5.6420355
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,7.015912,5.82651
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.581217,5.901299,5.241258
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,5.69787,5.167489
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.651968,7.454609,6.0532885
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.475761,6.657315,5.566538
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,6.027159,5.3321335
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,6.900648,5.768878
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,5.830623,5.2338655
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,5.629863,5.1334855
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.429641,8.896651,7.663146
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.606416,7.495536,6.050976
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.465416,9.17395,7.819683
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.188804,8.791024,7.489914
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.83567,8.840141,7.8379055
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.874914,8.479908,7.677411
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.6068,9.138551,7.8726755
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.637525,9.112205,7.374865
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.221116,8.300113,7.2606145
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,8.50903,6.573069
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.780832,9.686481,8.2336565
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.581217,8.10162,6.3414185
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.316162,7.732615,6.5243885
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.25898,9.535873,8.3974265
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.947799,9.17481,8.0613045
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.743646,7.052161,5.3979035
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.923292,9.271123,7.5972075
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.633997,9.369136,8.0015665
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.637108,7.338328,5.987718
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.637108,8.622937,6.6300225
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.744108,8.842916,7.293512
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.951318,8.082508,6.516913
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.147453,8.699012,7.4232325
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.640876,7.971613,6.3062445
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.581217,7.821188,6.2012025
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.877403,9.388659,8.133031
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.637108,8.174396,6.405752
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.197207,9.029564,7.6133855
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.106578,8.822867,7.4647225
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.302355,8.547276,6.9248155
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.637108,7.940832,6.28897
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,8.373808,6.505458
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.46088,8.947225,7.7040525
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.637108,8.544217,6.5906625
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.597934,6.741073,5.6695035
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.157954,8.545714,6.851834
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.405831,6.842195,5.124013
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,8.043816,6.340462
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.787796,7.472028,6.629912
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,7.348845,5.9929765
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637108,7.467503,6.0523055
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.227834,7.794253,6.5110435
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.002939,8.673249,7.338094
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.88372,7.988036,6.435878
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.596266,7.459134,6.0277
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.336495,6.202173,5.269334
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.644064,8.73759,7.690827
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.305024,8.137266,7.221145
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.624863,6.625149,5.125006
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.546142,6.554077,5.0501095
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.612735,6.838063,5.225399
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.105926,6.743794,5.42486
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.35262,6.48892,4.92077
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.633291,6.666202,5.1497465
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.340342,6.739588,5.539965
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.172095,6.263817,5.217956
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.445721,6.402586,4.9241535
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.75498,6.833675,5.2943275
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.860783,6.419499,5.140141
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.842457,6.782779,5.312618
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.327147,6.035551,4.681349
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.87308,7.055825,5.4644525
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.55644,6.847203,5.2018215
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.933025,8.298198,7.1156115
