"","sample","tissue","endometriosis","severity","p201368_at","p201369_s_at","ZFP36L2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.543193,9.478654,11.0109235
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.129821,10.245724,11.6877725
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.186146,9.860017,11.5230815
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.660906,11.622103,12.6415045
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.950893,10.138583,11.544738
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.41983,10.699737,12.0597835
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.758866,9.946505,11.3526855
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.401438,11.10305,12.252244
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.603336,10.205909,11.4046225
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.349834,10.426809,11.8883215
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.162705,8.85649,10.5095975
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.410093,10.625408,12.0177505
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.298819,11.24174,12.2702795
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.416574,9.189368,10.802971
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.540354,9.132565,10.8364595
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.067068,9.963487,11.5152775
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.088743,9.647242,11.3679925
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.386736,10.413242,11.899989
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.857947,8.528342,10.1931445
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.229821,10.552077,11.890949
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.608481,8.671132,10.6398065
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.96706,8.757249,10.3621545
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.839835,11.050558,11.4451965
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.240245,9.327933,10.784089
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.082901,10.532917,11.807909
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.104274,9.354026,10.22915
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.840268,9.23856,10.039414
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.948191,10.168993,11.558592
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.20661,10.042812,11.124711
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.238044,9.06384,10.650942
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.423395,11.949242,12.1863185
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.452353,10.456885,11.954619
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.291421,10.353759,10.82259
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.406203,8.428389,9.917296
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.411482,8.344004,10.377743
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.036927,10.322569,11.679748
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.364805,10.286801,11.325803
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.232571,8.324569,10.27857
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.268125,9.583354,10.9257395
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.255482,11.672823,11.9641525
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.820124,11.68666,12.253392
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.774823,9.434868,11.1048455
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.542947,9.753561,11.148254
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.979909,11.141302,12.0606055
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.037303,10.055852,11.5465775
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.938056,9.554365,10.7462105
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.025965,9.269196,10.6475805
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.660706,10.895061,11.7778835
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.036903,9.531195,10.784049
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.97854,9.265123,10.1218315
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.300711,10.309013,10.804862
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.878203,9.574028,10.7261155
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.401157,9.120465,10.760811
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.130928,9.809978,11.470453
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.300794,9.700095,11.0004445
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.709808,9.241853,10.9758305
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.060558,10.036136,11.048347
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.890158,10.214984,11.552571
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.610737,8.200457,10.405597
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.687707,7.858239,9.772973
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.392095,8.303122,9.8476085
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.77874,9.152739,10.9657395
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.761746,9.9696,11.365673
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.96208,10.594631,11.7783555
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.674023,8.919496,10.7967595
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.857143,10.497266,11.6772045
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.322995,8.869334,10.5961645
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.472063,8.017565,10.244814
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.438234,8.811724,10.624979
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.334759,8.963503,10.649131
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.396,9.791391,11.5936955
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.99653,8.810049,10.4032895
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.706817,9.075722,10.8912695
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.295302,8.743355,10.5193285
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.098932,8.505272,10.302102
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.099398,8.456077,10.2777375
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.605854,8.948895,10.7773745
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.635275,9.398144,11.0167095
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.27524,9.45417,11.364705
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.657252,9.363432,10.510342
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.625543,8.753695,10.689619
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.717639,8.718693,10.718166
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.369237,9.831594,11.6004155
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.718873,10.057606,11.3882395
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.909904,8.286828,10.098366
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.188708,8.970135,10.5794215
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.976478,10.70693,11.341704
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.75452,9.474769,11.1146445
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.130366,8.966583,10.5484745
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.25442,9.198215,10.7263175
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.953318,8.900942,10.42713
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.585517,11.454808,11.5201625
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.872963,10.025658,11.4493105
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.282513,10.388727,11.83562
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.957168,10.39568,11.176424
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.990185,10.293301,11.641743
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.548109,9.284215,10.916162
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.07929,11.036944,12.058117
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.466137,11.606912,11.5365245
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.906013,9.554569,10.230291
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.504212,9.726901,11.1155565
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.089389,10.333254,11.7113215
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.423115,9.740069,11.081592
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.849469,10.720315,11.284892
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.331084,10.40393,11.367507
