"","sample","tissue","endometriosis","severity","p213805_at","p218739_at","ABHD5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.173572,6.953342,7.063457
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.317138,8.088804,7.702971
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.216341,4.910739,4.56354
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.985234,6.60295,5.794092
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.946454,5.750771,5.8486125
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.13528,6.44386,6.28957
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.089494,4.06551,4.077502
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.752682,5.039955,4.8963185
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.129534,6.569683,6.8496085
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.993642,6.639884,6.316763
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.035278,5.833786,5.934532
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.142402,5.97101,6.056706
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.68299,6.285025,5.4840075
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.712993,5.1451,5.4290465
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.026754,5.929712,6.478233
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.525342,6.999929,7.2626355
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.055409,7.116046,7.0857275
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.332193,6.255156,6.2936745
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.197606,6.234714,6.71616
