"","sample","tissue","endometriosis","severity","p39854_r_at","p212705_x_at","PNPLA2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.465935,4.028913,5.247424
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.776106,4.60315,5.689628
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.154333,4.428422,5.2913775
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.255063,5.698348,6.4767055
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.481048,4.588049,5.5345485
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177676,5.670551,6.4241135
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.71978,6.581852,7.150816
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.262314,3.842341,5.0523275
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.44645,4.325372,5.385911
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.700899,4.737939,5.719419
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.154333,3.840752,4.9975425
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.154333,3.432258,4.7932955
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.396982,5.158458,6.27772
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.154333,3.714864,4.9345985
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.390351,3.432258,4.9113045
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.048219,5.181925,6.115072
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.132861,5.121749,6.127305
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.771475,4.925836,5.8486555
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.237583,4.204704,5.2211435
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.249446,5.14944,5.699443
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.154333,3.952458,5.0533955
