"","sample","tissue","endometriosis","severity","p1554899_s_at","p204232_at","FCER1G"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.265289,6.928621,6.596955
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.561816,5.584705,5.0732605
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.265289,8.23046,7.2478745
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.041252,8.117495,7.5793735
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.586733,6.445943,6.016338
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.542154,7.909086,7.22562
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.618464,6.915232,6.266848
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.214455,7.308184,6.7613195
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.232196,6.355818,5.794007
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.144711,10.315709,10.23021
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.393344,6.440168,6.416756
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.668507,8.207417,7.937962
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.984308,7.244441,6.6143745
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.17783,6.63588,6.406855
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.75079,4.879191,4.8149905
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.469508,6.970076,6.719792
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.75626,6.578309,6.1672845
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.925654,6.655968,6.290811
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.741097,7.114598,6.9278475
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.071634,8.984204,8.527919
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.144324,7.217063,6.6806935
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.130057,10.565231,10.347644
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.735168,10.732907,10.2340375
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.369267,10.386685,9.877976
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.60614,9.617995,9.1120675
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.265289,7.341358,6.8033235
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.751646,8.161282,7.456464
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.113605,6.706262,6.4099335
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.357108,8.880848,8.118978
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.265289,7.883359,7.074324
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.729257,8.482751,7.606004
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.529615,7.590207,7.059911
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.954929,8.681364,7.8181465
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.272806,8.411422,7.842114
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.729518,7.487273,7.1083955
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.817768,9.706876,9.262322
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.459301,7.120202,6.2897515
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.265289,7.238329,6.751809
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.715004,8.040801,7.3779025
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.669145,6.916233,5.792689
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.072678,7.304444,6.688561
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.71998,9.791657,9.2558185
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.907923,8.209961,7.558942
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.556485,9.48745,9.0219675
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.570778,10.312387,9.9415825
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.971221,8.198473,7.584847
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.427019,7.854815,7.140917
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.327031,8.757052,8.0420415
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.400695,7.697665,7.04918
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.265289,7.352567,6.808928
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.080979,8.080042,7.0805105
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.588945,10.449209,10.019077
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.991201,8.477264,7.7342325
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.602637,7.46228,7.0324585
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.724396,7.032947,6.3786715
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.265289,7.824252,7.0447705
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.594226,7.354146,6.474186
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.289764,9.278683,8.7842235
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.94994,10.26804,10.10899
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.869706,7.031824,6.450765
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.189186,8.256761,7.7229735
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.401691,11.155706,10.7786985
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.485235,8.596616,8.0409255
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.692976,10.432535,10.0627555
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.587512,6.081365,5.8344385
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.002722,6.303904,5.653313
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.113155,8.640919,8.377037
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.199818,7.549576,7.374697
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.229202,7.722238,7.47572
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.230975,6.487711,6.359343
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.134069,9.25128,9.1926745
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.654052,6.950393,6.8022225
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.817686,7.132399,6.9750425
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.981681,7.337595,7.159638
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.844917,5.894785,5.869851
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.885565,7.60209,7.2438275
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.77361,7.102861,6.9382355
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.255251,7.813526,7.5343885
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.058276,9.10129,9.079783
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.389216,6.35591,5.872563
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.337133,7.079053,6.708093
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.691918,8.021138,7.856528
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.531789,10.352599,9.942194
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.794565,8.048771,7.421668
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.832362,8.686996,8.259679
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.739445,10.031913,9.885679
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.732908,8.157705,7.4453065
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.012663,10.874344,10.4435035
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.904107,8.037365,7.470736
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.216976,8.271063,7.7440195
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.716894,7.918291,7.3175925
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.394012,7.065893,6.2299525
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.168481,9.869565,9.519023
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.232589,8.042368,7.6374785
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.361995,7.861942,7.1119685
