"","sample","tissue","endometriosis","severity","p212049_at","p212050_at","p231251_at","WIPF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.595945,9.257044,3.179128,6.344039
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.066645,9.834633,2.495864,6.13238066666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.708239,9.342541,2.93465,6.32847666666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.030744,10.272996,3.211385,6.838375
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.239417,9.040326,3.06258,6.11410766666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.095313,9.682515,3.32101,6.69961266666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.904686,10.053353,3.188861,6.71563333333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.859683,10.161432,3.188861,6.73665866666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.97855,9.869995,3.259192,6.702579
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.652917,9.515692,2.454395,6.207668
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.235785,9.902109,2.343471,6.160455
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.475632,9.698789,2.882474,6.35229833333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.825573,9.782307,2.319287,6.30905566666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.050998,9.668583,2.663392,6.460991
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.860786,9.539366,3.051616,6.48392266666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.146971,9.9165,3.491104,6.851525
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.679366,9.933996,3.972361,7.195241
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.860786,9.864658,3.44193,6.722458
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.259535,9.560539,3.510894,6.443656
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.881665,7.870019,4.333756,6.36181333333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.466456,8.282362,4.752158,6.83365866666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.807723,8.301338,3.791763,6.633608
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.577667,8.183993,3.276948,6.34620266666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.526099,8.157886,3.170797,6.28492733333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.646302,8.34866,4.388308,6.79442333333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.949512,7.470624,4.279334,6.23315666666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.295206,7.057435,3.276948,5.87652966666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.594113,8.193802,3.955062,6.58099233333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.602654,8.137641,3.71094,6.483745
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.018541,8.8257,3.509658,6.784633
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.421813,7.468266,3.510894,6.13365766666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.825187,8.293702,3.94624,6.68837633333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.971171,7.395882,3.510894,5.95931566666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.492682,7.01551,2.3271,5.27843066666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.034224,8.037569,3.898092,6.323295
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.8416,7.881827,3.276948,6.000125
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.41381,7.765951,3.816413,6.332058
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.504739,8.384455,4.462155,6.783783
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.400937,7.298963,3.510894,5.73693133333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.625435,7.877007,3.510894,6.33777866666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.563466,8.232479,4.047479,6.61447466666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.487087,8.703151,2.408826,6.199688
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.740252,6.763015,3.510894,5.671387
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.436755,8.211116,4.724278,6.79071633333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.537652,8.239822,3.51234,6.429938
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.90461,6.708911,3.333268,5.64892966666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.124878,7.152255,2.980417,5.75251666666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.61502,8.594335,3.651122,6.620159
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.434643,8.011153,4.049002,6.498266
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.012223,6.556337,3.510894,5.69315133333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.810097,6.350702,3.188861,5.44988666666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.032596,7.259912,3.188861,5.827123
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.444568,7.578259,3.367329,6.130052
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.383847,8.673918,3.77313,6.61029833333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.696166,8.764011,4.090239,6.85013866666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.797519,7.031837,3.635264,5.82154
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.219618,7.588955,3.510894,6.106489
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.065263,7.915336,3.592754,6.19111766666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.822336,8.34836,4.282134,6.48427666666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.503948,8.368041,4.774412,6.88213366666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.488619,7.260684,3.339194,6.029499
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.622417,8.560637,3.531827,6.571627
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.616164,8.389729,4.407479,6.80445733333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.318785,7.697703,3.972064,6.32951733333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.109213,8.224044,5.016299,6.78318533333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.781678,8.321868,3.705791,6.60311233333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.168817,7.043788,2.949475,5.38736
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.321201,7.956438,3.01224,5.763293
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.889894,7.807878,3.324377,6.007383
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.917821,7.998309,3.370201,6.09544366666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.683002,7.390044,3.276948,5.78333133333333
