"","sample","tissue","endometriosis","severity","p211282_x_at","p210847_x_at","p219423_x_at","TNFRSF25"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.497168,3.407993,5.790236,4.56513233333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.875612,3.019415,6.030618,4.64188166666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.351031,2.320279,4.352559,4.00795633333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.054993,2.996782,6.026308,4.69269433333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.071161,2.806069,5.451163,4.44279766666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.165784,3.250853,6.42469,4.947109
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.50182,2.864003,5.359325,4.241716
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.005137,3.795745,6.599355,5.13341233333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.007485,3.605925,6.814663,5.142691
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.197205,3.243765,6.099467,4.84681233333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.243068,3.040496,6.45267,4.912078
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.414432,4.09832,6.179385,5.23071233333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.203802,4.09832,6.767129,5.356417
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.200777,3.879855,6.295109,5.125247
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.940377,3.288667,6.069693,4.76624566666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.041042,3.73243,6.287012,5.02016133333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.867194,3.692776,6.318809,4.959593
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.867194,3.768617,5.486797,4.707536
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.910728,2.806069,5.72643,4.14774233333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.442929,4.09832,7.192719,5.244656
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.351031,4.09832,7.353671,5.60100733333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.809765,4.09832,7.432349,5.78014466666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.583759,5.211832,8.468994,6.75486166666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.292799,5.558153,8.191334,7.01409533333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.047007,5.265817,8.445035,6.91928633333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.455288,6.206906,9.169795,7.610663
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.203802,4.09832,7.413198,5.57177333333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.067097,4.437185,7.902317,6.135533
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.873922,5.142303,8.306276,6.774167
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.176026,6.403053,9.284931,7.62133666666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.896,4.939147,8.312398,6.71584833333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.832907,4.992475,8.128744,6.65137533333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.736667,6.391143,9.563687,7.89716566666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.703838,4.494358,7.933221,6.377139
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.867194,4.09832,6.668041,5.211185
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.738077,4.820367,7.743533,6.100659
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.93196,5.472237,8.611528,7.00524166666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.745823,4.202747,7.511271,5.819947
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.721175,4.256831,7.588011,5.855339
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.103672,5.140317,8.269258,6.50441566666667
