"","sample","tissue","endometriosis","severity","p203432_at","p224944_at","TMPO"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.63423,10.942181,9.7882055
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.331969,11.214112,9.7730405
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.658059,9.406947,8.032503
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.073408,9.128269,7.6008385
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.628816,11.198791,9.9138035
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.817437,10.418491,8.617964
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.960428,8.828661,7.3945445
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.588664,10.841162,9.214913
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.893266,11.044227,9.9687465
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.964253,9.821031,8.392642
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.875012,11.036332,9.455672
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.604806,11.108207,9.3565065
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.602668,9.049915,7.3262915
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.848713,11.362238,10.1054755
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.554596,11.339406,9.947001
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.984784,9.947213,8.4659985
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.863799,9.764529,8.314164
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.502741,9.877059,8.1899
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.887534,9.258927,7.5732305
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.925541,9.331036,7.6282885
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.630707,10.369666,9.0001865
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.236942,9.153987,7.6954645
