"","sample","tissue","endometriosis","severity","p244043_at","p203588_s_at","TFDP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.679274,5.966388,6.322831
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.684232,7.160082,6.422157
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.061613,6.665103,5.863358
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.879355,6.257676,6.0685155
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.561216,6.327508,4.944362
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.270565,6.232884,5.2517245
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.153568,5.66281,5.408189
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.107651,7.51813,6.8128905
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.743436,6.479819,6.6116275
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.561216,5.758548,4.659882
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.172801,7.343867,6.258334
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.252268,7.016755,6.6345115
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.70187,5.022441,4.8621555
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.012789,7.176634,7.0947115
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.420515,6.042355,6.731435
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.05817,5.727451,5.3928105
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.645962,5.228236,5.437099
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.707141,6.069395,5.388268
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.691231,5.228236,5.9597335
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.771384,5.559389,6.1653865
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.998582,5.490147,6.2443645
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.955569,4.779003,5.367286
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.268073,5.022441,6.145257
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.999021,5.022441,5.510731
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.18442,5.022441,6.1034305
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.900588,3.156784,5.028686
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.268515,5.022441,6.145478
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.383122,6.247723,6.8154225
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.655588,5.228236,5.941912
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.573883,5.354207,6.964045
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.605173,5.022441,7.313807
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.415627,5.776638,6.0961325
