"","sample","tissue","endometriosis","severity","p206095_s_at","p204299_at","p210178_x_at","p213594_x_at","p225348_at","SRSF10"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.08856,8.25218,7.560152,7.674125,6.184403,8.151884
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.553712,6.99945,8.908058,8.771045,6.545152,8.3554834
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.818606,6.442775,8.214088,8.88907,3.564532,7.3858142
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.327792,6.1941,7.263846,7.638655,5.470911,7.3790608
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.152089,8.666519,9.050798,9.306866,6.331288,8.901512
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.943763,7.577048,7.683248,8.299353,5.715192,8.0437208
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.329726,5.740313,6.776491,9.023062,3.362343,6.846387
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.252288,7.442249,8.1326,8.539677,6.750795,8.2235218
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.621113,7.905393,8.304202,8.722314,6.686421,8.4478886
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.793393,7.401386,8.415973,9.309645,5.038295,8.1917384
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.173872,8.852397,8.728188,9.515911,6.603629,8.9747994
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.868844,8.429876,7.948303,8.333615,5.511979,8.2185234
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.191447,6.051834,7.36629,7.185728,5.555624,7.2701846
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.602601,8.76646,9.301163,10.511496,7.337263,9.5037966
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.55786,8.376347,8.301212,9.354029,7.577676,9.0334248
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.684614,7.812402,8.074741,8.804906,5.838871,8.2431068
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.232155,7.502601,7.383375,8.323889,6.57334,8.203072
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.501659,8.028016,7.389664,7.582016,5.937538,7.8877786
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.901564,8.251901,7.742201,7.301746,6.562241,8.1519306
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.76006,6.555905,6.664521,7.615988,6.298184,7.1789316
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.329726,6.985498,7.115314,7.806871,6.441065,7.5356948
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.163031,6.594649,6.698233,7.185412,6.114598,7.1511846
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.108326,5.318088,7.094663,6.297914,6.049009,6.7736
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.690724,6.272542,6.127354,7.155598,5.897603,6.8287642
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.102372,5.383681,5.36261,5.395003,4.908297,5.8303926
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.0392,5.840286,6.819001,4.559134,4.793427,6.0102096
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.920428,4.793248,6.095285,5.81676,5.478892,6.0209226
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.524567,7.718257,7.692849,7.160678,7.489183,7.9171068
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.34375,6.671942,6.095285,5.646791,5.466071,6.4447678
