"","sample","tissue","endometriosis","severity","p201732_s_at","p201733_at","CLCN3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.02126,4.597159,5.3092095
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.051467,4.037231,5.544349
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.316919,4.149107,4.733013
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.284113,3.496128,4.3901205
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.740187,4.659893,5.20004
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.274274,4.149107,5.2116905
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.041282,4.578495,5.3098885
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.079525,3.702354,4.3909395
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.004115,4.868536,5.4363255
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.730843,4.493367,4.612105
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.867386,4.474812,5.171099
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.715008,4.446328,5.080668
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.376477,3.877111,4.626794
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.863196,3.931659,4.8974275
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.142778,4.49946,5.321119
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.008291,4.381452,5.1948715
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.454897,4.172446,4.8136715
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.432734,5.112045,5.7723895
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.744904,4.794004,5.269454
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.670943,3.632385,3.151664
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.616757,3.496128,3.0564425
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.445846,3.480319,2.9630825
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.099815,5.816563,4.958189
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.772681,3.333045,3.552863
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.339035,2.858345,3.09869
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.693416,4.149107,4.4212615
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.847004,3.496128,3.671566
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.772681,3.768181,3.770431
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.772681,4.149107,3.960894
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.616757,3.02867,2.8227135
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.772681,3.496128,3.6344045
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.570344,2.957645,3.2639945
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.616757,2.865356,2.7410565
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.772681,2.561294,3.1669875
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.678678,4.361423,5.0200505
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.817422,4.003562,4.410492
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.616757,4.149107,3.382932
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.80374,4.155118,3.979429
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.288672,3.77725,3.532961
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.211954,4.276202,4.244078
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.62741,5.025106,3.826258
