"","sample","tissue","endometriosis","severity","p1569323_at","p204944_at","p227126_at","PTPRG"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.543099,8.176484,10.033416,8.91766633333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.464407,8.164435,8.712731,7.78052433333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.411863,5.915781,7.116218,5.81462066666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.972746,5.886922,8.345135,7.06826766666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.571094,6.853653,8.759546,6.72809766666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.953219,7.040413,8.530717,7.50811633333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.439881,4.134161,6.823852,5.46596466666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.63239,7.644575,8.608071,7.295012
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.10945,7.029097,9.514036,7.88419433333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.795562,6.544696,8.032472,6.45757666666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.685114,7.759139,8.855932,7.76672833333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.767874,7.749267,9.489666,8.33560233333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.650696,5.456878,7.120433,5.40933566666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.446074,6.60125,7.994099,7.01380766666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.501716,7.636316,9.11736,7.75179733333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.200988,6.477341,7.967296,6.54854166666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.67261,5.577129,7.942542,6.397427
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.884763,5.203547,8.530899,7.206403
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.84745,5.978867,8.41242,7.079579
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.403204,6.380671,7.814005,6.86596
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.618982,5.531638,8.475393,7.208671
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.471416,5.364807,7.044392,6.29353833333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.210897,6.682964,7.005284,6.299715
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.342131,5.453722,7.428026,6.40795966666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.267308,4.335956,8.015285,5.87284966666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.375041,5.160959,8.255616,6.59720533333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.350899,4.198297,5.779011,4.44273566666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.860806,6.636393,8.022344,6.83984766666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.240701,6.103667,9.038782,7.12771666666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.34183,4.875628,7.360885,5.85944766666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.618983,5.635489,7.985904,6.41345866666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.439881,6.214492,8.94379,6.86605433333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.571094,3.522132,5.64292,4.57871533333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.1039,3.97826,6.635252,4.905804
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.024232,9.120843,10.27769,8.80758833333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.49223,4.87611,7.558255,4.97553166666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.848648,5.711299,7.936737,6.49889466666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.018149,8.618778,9.419306,8.685411
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.65401,5.475191,7.593415,5.90753866666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.536654,4.74177,7.717526,5.99865
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.472909,7.797357,8.869083,7.379783
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.204698,5.091169,7.394652,6.230173
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.905949,5.606403,7.54221,6.35152066666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.601679,7.125618,8.43387,7.38705566666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.252436,4.589638,7.057646,5.63324
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.596214,6.89163,7.472752,6.32019866666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.571094,4.087675,6.544651,5.06780666666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.941475,6.628596,8.261462,6.94384433333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.524947,5.463566,8.026473,6.671662
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.099779,4.88365,8.138084,6.37383766666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.713024,5.616267,7.576016,6.301769
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.785777,3.93644,6.934683,4.88563333333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.439881,6.021101,8.364247,6.60840966666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.345957,5.262348,7.578168,6.395491
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.245931,6.406017,8.564553,6.73883366666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.350462,8.591149,9.262011,8.067874
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.439881,5.477433,7.780893,6.23273566666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.918696,6.820305,7.884214,6.874405
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.413244,7.553982,8.952723,7.97331633333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.575623,7.805551,8.851876,7.74435
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.717547,7.323427,8.637577,7.22618366666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.724503,7.287255,8.316663,6.77614033333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.192611,7.228812,8.482763,7.30139533333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.571094,8.044268,8.551041,7.05546766666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.300767,8.449363,10.443051,9.06439366666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.988517,6.153622,8.059473,6.40053733333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.778256,7.366961,7.883898,6.009705
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.751979,7.910531,8.711998,7.124836
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.773715,7.857277,9.058004,6.56299866666667
