"","sample","tissue","endometriosis","severity","p32259_at","p203249_at","EZH1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.584796,8.019366,8.302081
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.737785,7.160854,7.4493195
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.154855,5.916732,6.5357935
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.799219,8.573728,8.6864735
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.591679,6.554043,7.072861
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.417176,7.990907,8.2040415
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.879449,7.187511,7.53348
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.358964,6.680938,7.019951
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.496965,7.062215,7.77959
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.145365,7.581825,7.863595
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.552374,5.818795,6.6855845
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.426839,6.536196,6.9815175
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.233048,8.331434,8.782241
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.927297,6.719868,6.8235825
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.298776,7.841688,8.070232
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.600951,8.636033,8.618492
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.914587,9.129262,9.0219245
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.352943,7.993136,8.1730395
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.432694,7.455865,7.9442795
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.539245,7.04769,7.2934675
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.310564,6.394576,6.85257
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.833853,5.669627,6.25174
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.707491,6.793076,7.2502835
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.893857,6.00403,6.4489435
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.503022,7.141771,7.3223965
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.726562,6.353612,7.040087
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.409995,4.659902,5.5349485
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.565613,6.068636,6.3171245
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.216364,7.488365,7.8523645
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.513832,5.274915,5.8943735
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.508698,6.878506,7.193602
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.164424,6.103283,6.1338535
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.125315,5.12658,5.6259475
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.597881,5.437725,6.017803
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.542167,7.899967,8.221067
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.282888,6.786252,7.03457
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.165788,6.230774,6.698281
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.732315,7.558656,7.6454855
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.75302,5.903739,6.3283795
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.270418,7.500421,7.8854195
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.553257,4.926209,5.739733
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.638527,6.086801,6.362664
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.420015,6.344411,6.882213
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.267884,7.681659,7.9747715
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.770147,6.564636,6.6673915
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.817441,5.30582,6.0616305
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.569064,5.451584,6.010324
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.866543,6.155042,6.5107925
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.459259,7.246185,7.352722
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.330254,6.059675,6.6949645
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.718526,5.726064,6.222295
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.50033,6.921542,7.210936
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.481957,6.86885,7.1754035
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.379571,5.844789,6.11218
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.892405,6.296733,6.594569
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.341059,7.562797,7.951928
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.411396,6.608855,7.0101255
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.964215,7.73103,7.8476225
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.819565,7.228693,7.524129
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.943975,7.598188,7.7710815
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.237431,6.567253,6.902342
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.504742,7.258882,7.381812
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.026253,7.810754,7.9185035
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.697627,7.410316,7.5539715
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.834186,7.65341,7.743798
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.306969,7.065143,7.186056
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.552699,6.429216,6.4909575
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.562558,5.887052,6.224805
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.657022,7.039257,7.3481395
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.743725,7.192878,7.4683015
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.912041,7.248592,7.5803165
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.014695,8.445309,8.730002
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.418062,7.928985,8.1735235
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.300459,6.660451,6.980455
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.976795,7.42368,7.7002375
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.097324,8.500987,8.7991555
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.327538,6.328244,6.827891
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.857381,7.273693,7.565537
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.183845,6.721865,6.952855
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.412512,8.926376,9.169444
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.971113,5.957512,6.4643125
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.281617,6.058836,6.6702265
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.979394,7.845915,7.9126545
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.912703,8.652248,8.7824755
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.935326,6.018747,6.4770365
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.078063,6.033029,6.555546
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.457174,6.671239,7.0642065
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.137433,6.648498,6.8929655
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.390575,5.780386,6.0854805
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.765077,5.197254,5.4811655
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.304025,8.051661,8.177843
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.993559,6.855553,7.424556
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.525871,5.518762,6.0223165
