"","sample","tissue","endometriosis","severity","p221435_x_at","p223769_x_at","p223622_s_at","HYI"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.411457,7.510834,6.043159,6.65515
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.442219,7.295268,5.972004,6.56983033333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.875438,7.492791,5.261861,6.21003
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.211522,8.359951,6.515691,7.362388
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.50973,7.713325,6.150271,6.79110866666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.416815,7.45322,7.203136,7.02439033333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.492609,7.759452,6.596483,6.61618133333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.110372,7.712382,6.873076,6.89861
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.00247,7.922264,6.614302,7.513012
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.106176,7.364185,5.633039,6.3678
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.127446,7.727018,5.767378,6.540614
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.276018,6.867495,5.61428,6.25259766666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.757019,7.132562,4.72368,6.20442033333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.32394,7.891215,6.386269,6.86714133333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.242593,7.5751,5.858436,6.55870966666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.731408,6.972779,5.167634,5.95727366666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.106176,6.677018,4.72368,5.83562466666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.947972,7.137522,4.72368,5.93639133333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.921047,6.688506,4.72368,5.77774433333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.029719,8.414558,8.447806,8.297361
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.490098,8.935445,8.684875,8.70347266666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.487917,8.745619,8.113623,8.449053
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.978817,8.393951,8.063757,8.14550833333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.810632,9.173351,8.78944,8.92447433333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.217716,8.865293,9.179153,9.08738733333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.732529,9.798219,9.545344,9.69203066666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.238394,10.448853,10.163813,10.2836866666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.883185,9.061981,8.676848,8.87400466666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.501967,8.805482,8.547776,8.61840833333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.806993,10.018235,9.874372,9.89986666666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.65635,10.161628,9.652939,9.823639
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.622351,9.049259,8.69908,8.79023
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.175308,10.215476,10.129645,10.1734763333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.884261,10.24893,10.044358,10.059183
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.311513,7.979554,7.313427,7.53483133333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.006734,9.268852,9.107759,9.12778166666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.74601,10.130698,9.796423,9.89104366666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.51762,7.813601,7.644112,7.65844433333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.73039,10.111777,9.750982,9.864383
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.344491,9.915826,9.800198,9.68683833333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.322657,8.694455,8.331116,8.44940933333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.323972,10.344275,9.973778,10.2140083333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.372611,9.548587,9.150067,9.35708833333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.6826,8.510684,8.140952,8.111412
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.335526,9.393886,9.268077,9.33249633333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.749446,9.984935,9.70631,9.81356366666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.051139,10.390234,10.065579,10.168984
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.178209,8.570656,8.360716,8.36986033333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.622243,8.904797,8.570578,8.699206
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.368539,10.626033,10.28014,10.424904
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.640833,9.564715,9.469213,9.55825366666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.710951,10.960241,10.624148,10.7651133333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.656198,9.725652,9.597052,9.659634
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.564344,8.748376,8.606605,8.639775
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.410121,9.65801,9.137529,9.40188666666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.70162,9.070332,8.680848,8.8176
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.802595,10.062487,9.556591,9.80722433333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.280201,9.371152,9.195049,9.282134
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.979992,7.407315,6.792773,7.06002666666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.448164,8.577106,8.422223,8.48249766666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.089747,8.969971,8.917256,8.99232466666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.533847,8.315812,8.215716,8.355125
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.861038,8.247185,8.006574,8.03826566666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.155642,8.590138,8.331056,8.35894533333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.64901,8.028276,7.750224,7.80917
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.515412,9.713187,9.379286,9.53596166666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.515016,9.836777,9.343743,9.56517866666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.202585,7.86824,7.228092,7.43297233333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.662831,7.956446,7.015288,7.544855
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.510857,7.853889,7.26276,7.542502
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.660251,7.458016,7.036936,7.05173433333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.806726,7.393413,6.851746,7.017295
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.354124,8.777941,8.317196,8.483087
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.315498,7.876773,7.335665,7.509312
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.740939,7.884628,7.5305,7.718689
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.881252,7.328088,6.770155,6.993165
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.128052,7.487782,6.938821,7.184885
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.142853,7.23612,6.788373,7.055782
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.9134,8.173491,7.089585,7.39215866666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.106176,7.091373,6.289347,6.495632
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.051956,7.807351,7.437907,7.765738
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.805022,8.099401,7.489617,7.79801333333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.103076,8.324127,8.04545,8.157551
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.746936,8.016698,7.82192,7.86185133333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.880586,10.119689,9.718188,9.90615433333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.76073,8.993825,8.661702,8.805419
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.014054,10.171488,9.845835,10.010459
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.656679,9.118816,8.550578,8.77535766666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.206254,9.515739,9.093614,9.271869
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.646826,9.511492,9.47893,9.54574933333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.366624,7.591736,7.170397,7.37625233333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.370009,9.876413,9.708584,9.65166866666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.774899,9.756502,9.675578,9.73565966666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.200672,7.579508,7.108506,7.29622866666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.406475,8.676505,8.270675,8.45121833333334
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.681475,8.282409,8.018511,7.99413166666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.218685,8.431855,8.353608,8.334716
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.042769,8.709626,8.354863,8.369086
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.649772,9.925259,9.675976,9.75033566666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.884862,9.258555,8.656745,8.93338733333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.548689,8.866828,8.615708,8.677075
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.022513,8.550009,8.220051,8.264191
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.608139,8.891179,8.577917,8.69241166666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.580652,9.93647,9.442464,9.65319533333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.765397,7.753177,7.377513,7.29869566666667
