"","sample","tissue","endometriosis","severity","p32811_at","p214656_x_at","p225080_at","MYO1C"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.802332,10.280866,8.670884,8.25136066666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.847518,9.982343,8.673098,7.83431966666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.051797,10.388745,7.993764,8.14476866666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.251091,10.644039,9.687952,8.86102733333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.836328,10.099941,8.839368,8.25854566666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.090903,10.182568,9.742512,8.67199433333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.916403,10.643747,9.343891,8.63468033333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.30194,9.811553,7.390309,7.167934
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.113836,9.917992,8.631838,7.88788866666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.602269,9.357188,9.27494,8.07813233333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.793532,10.500498,7.427042,7.57369066666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.685439,10.384552,8.108119,8.05937
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.121282,10.287419,8.469726,7.95947566666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.986101,10.307872,9.077889,8.123954
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.290568,9.471891,9.018891,7.92711666666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.327347,9.88723,9.059232,8.09126966666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.723493,10.141712,9.401042,8.42208233333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.873183,10.740175,8.926084,8.51314733333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.466789,9.812049,8.854867,8.04456833333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.173318,10.972336,10.637513,10.2610556666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.238527,10.088512,10.270954,9.53266433333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.757518,11.060981,11.195338,10.671279
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.755144,9.952539,9.914582,9.20742166666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.617494,10.374478,10.95462,9.98219733333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.919064,11.425898,11.139586,10.8281826666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.070921,10.901661,11.082875,10.351819
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.841266,10.536733,10.540368,9.972789
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.5325,10.352644,10.247308,9.71081733333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.987483,10.439404,10.617709,9.681532
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.446778,10.40602,10.740487,9.86442833333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.076241,10.723241,10.444795,10.0814256666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.218581,10.676466,10.187896,10.0276476666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.016983,10.747156,10.537111,10.1004166666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.37309,10.730806,10.399553,10.1678163333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.073555,10.129736,9.690002,9.29776433333333
