"","sample","tissue","endometriosis","severity","p227231_at","p227230_s_at","KIAA1211"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.271657,6.731927,6.001792
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.530472,6.021755,4.7761135
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.631763,6.178524,4.9051435
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.381593,2.56851,2.4750515
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.221317,5.419219,4.820268
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.381593,3.248163,2.814878
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.76996,2.702952,2.736456
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.230682,5.973235,5.1019585
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.480587,4.540537,4.010562
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.218868,2.78544,3.002154
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.990668,6.858618,5.924643
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.101242,6.340837,6.2210395
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.381593,3.699642,3.0406175
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.372572,7.371115,6.8718435
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.832668,4.493857,4.6632625
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.486641,4.63015,4.0583955
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.480587,4.252696,3.8666415
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.951335,3.849327,3.400331
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.073963,3.163762,3.1188625
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.496574,4.045792,3.271183
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.073963,5.853829,4.463896
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.391869,4.395497,3.393683
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.480587,6.733592,5.1070895
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.951335,3.287152,3.1192435
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.951335,4.280764,3.6160495
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.227094,4.381476,3.804285
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.480587,6.576156,5.0283715
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.889326,6.353003,5.1211645
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.951335,4.864115,3.907725
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.480587,5.045043,4.262815
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.178695,4.725906,3.9523005
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.203164,5.95635,4.579757
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.381593,3.982894,3.1822435
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.994216,5.552554,4.273385
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.384034,9.385501,7.8847675
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.450773,4.13856,3.2946665
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.670455,4.536915,4.103685
