"","sample","tissue","endometriosis","severity","p223112_s_at","p228301_x_at","NDUFB10"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.741828,8.422073,9.5819505
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.983773,8.893428,9.9386005
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.301485,8.422073,8.861779
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.619771,8.474194,9.5469825
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.622437,8.401229,9.511833
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.558222,8.097817,9.3280195
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.846664,9.05374,9.450202
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.595682,8.866391,9.7310365
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.813429,8.534463,9.673946
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.783673,8.468842,9.6262575
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.797652,8.754607,9.7761295
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.48795,8.187474,9.337712
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.266269,8.422073,8.844171
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.713917,8.798715,9.756316
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.709015,8.619208,9.6641115
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.324723,7.762869,9.043796
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.379216,8.422073,9.4006445
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.43646,8.422073,9.4292665
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.997125,8.685368,9.3412465
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.261734,10.178019,11.2198765
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.59406,10.524511,11.5592855
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.381766,10.294273,11.3380195
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.253831,9.483481,10.368656
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.718698,10.594372,11.656535
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.18508,9.911406,11.048243
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.72909,10.758666,11.743878
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.529637,11.342689,11.936163
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.294672,10.020834,11.157753
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.21047,10.162846,11.186658
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.638314,10.727604,11.682959
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.333792,10.931698,11.632745
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.949969,9.799857,10.874913
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.493339,10.604122,11.5487305
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.695345,10.996357,11.845851
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.630128,9.626782,10.628455
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.620478,10.309443,11.4649605
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.416418,10.454814,11.435616
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.439538,9.764095,11.1018165
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.886206,10.538132,11.712169
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.531654,10.194794,10.863224
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.748896,9.996708,10.872802
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.799737,10.686696,11.7432165
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.213088,10.536007,11.3745475
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.548646,9.539001,10.5438235
