"","sample","tissue","endometriosis","severity","p219858_s_at","p225325_at","MFSD6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.299509,10.6397,8.9696045
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.19644,9.462623,8.3295315
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.685511,4.411612,4.0485615
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.315965,8.145503,6.230734
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.10255,8.398896,7.250723
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.20601,7.531712,5.368861
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.703458,6.55599,5.629724
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.995204,5.971296,4.48325
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.565506,9.094644,7.830075
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.421276,7.856682,6.138979
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.189622,7.037792,6.113707
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.2118,6.718153,5.4649765
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.995204,7.65111,5.323157
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.995204,6.326678,4.660941
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.490713,9.24296,7.8668365
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.909749,8.971148,7.4404485
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.669444,8.6374,7.153422
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.142934,7.804577,6.4737555
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.787749,7.419929,6.103839
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.995204,7.34579,5.170497
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.399475,9.241991,6.320733
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.592249,7.028867,4.810558
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,7.096113,4.66609
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.328445,4.282256
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,3.992241,3.114154
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.978196,7.265266,5.121731
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.438746,4.390165,3.4144555
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.995204,7.217598,5.106401
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.995204,7.557127,5.2761655
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.467285,4.861557,3.664421
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.995204,4.652341,3.8237725
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.343826,6.003239,4.1735325
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.995204,3.202418,3.098811
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,6.285703,4.260885
