"","sample","tissue","endometriosis","severity","p212438_at","p212440_at","SNRNP27"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.206352,8.728032,8.967192
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.77317,7.408022,8.090596
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.703774,7.445587,8.0746805
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.66222,8.565858,8.614039
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.294485,8.049837,8.672161
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.147853,8.690723,8.919288
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.558362,7.366157,7.9622595
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.517923,7.985239,8.251581
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.137632,8.586399,8.8620155
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.17687,8.569837,8.8733535
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.502235,7.799748,8.6509915
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.34151,8.001314,8.671412
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.42855,8.14731,8.28793
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.159206,8.559982,8.859594
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.598638,8.995215,8.7969265
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.175167,8.532711,8.853939
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.206033,8.795511,9.000772
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.515856,8.674118,9.094987
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.506458,8.417381,8.9619195
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.341251,9.446873,9.394062
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.856024,9.149726,9.002875
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.921253,9.14235,9.0318015
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.013964,8.911454,8.462709
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.907637,9.162853,9.035245
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.39018,8.333032,8.361606
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.80257,8.13905,7.97081
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.488996,6.968136,7.228566
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.045107,9.301612,9.1733595
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.956104,8.351583,8.6538435
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.319741,8.883867,8.601804
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.232706,8.270188,7.751447
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.732339,8.682022,8.7071805
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.479627,6.839996,7.1598115
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.949146,8.024896,7.987021
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.69584,9.971602,9.833721
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.707249,9.037341,8.872295
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.041523,8.431864,8.2366935
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.130531,9.831995,9.481263
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.398737,9.038719,8.718728
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.567993,8.177745,7.872869
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.534345,9.056426,8.7953855
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.021332,9.532865,9.2770985
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.724828,7.858544,7.791686
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.329905,9.396128,8.8630165
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.51328,9.123495,8.8183875
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.757729,8.723822,8.7407755
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.153706,8.373693,8.2636995
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.957295,8.875953,8.416624
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.620043,9.4163,9.0181715
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.901621,7.950985,7.926303
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.047068,8.244302,8.145685
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.425413,8.75388,8.5896465
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.756719,8.348767,8.052743
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.159682,7.980796,8.070239
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.810217,9.409026,9.1096215
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.702016,9.801929,9.7519725
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.573808,8.853812,8.71381
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.198481,9.397999,9.29824
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.25265,9.927662,10.090156
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.816575,9.664369,9.240472
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.121115,9.333849,9.227482
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.004277,9.917264,9.4607705
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.234986,9.462439,9.3487125
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.639659,9.400292,9.5199755
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.161694,10.266772,10.214233
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.888113,9.255823,9.071968
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.891316,8.900499,8.8959075
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.141603,9.700501,9.921052
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.96801,9.964476,9.966243
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.737495,9.591854,9.6646745
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.051875,9.925962,9.9889185
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.69347,9.987357,9.8404135
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.094371,9.756651,9.925511
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.774116,9.650005,9.7120605
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.812404,9.962167,9.8872855
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.983171,10.056588,10.0198795
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.62627,9.495313,9.5607915
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.00123,10.233615,10.1174225
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.773891,9.949182,9.8615365
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.136627,9.770357,9.453492
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.78053,9.888612,9.834571
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.887086,9.578479,9.7327825
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.986327,9.068182,9.0272545
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.560748,9.990466,9.775607
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.301913,9.355952,9.3289325
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.30275,9.704303,9.5035265
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.250754,8.994105,8.6224295
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.050784,8.763845,8.9073145
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.447029,9.542855,9.494942
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.865038,9.135226,9.000132
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.882286,9.622373,9.2523295
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.567501,7.550528,7.5590145
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.103592,9.43936,9.271476
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.383186,9.911443,9.6473145
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.484232,8.747328,8.61578
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.176294,9.204719,9.1905065
