"","sample","tissue","endometriosis","severity","p208089_s_at","p214028_x_at","TDRD3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.21672,6.956653,6.5866865
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.279515,6.237857,6.258686
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.648442,6.237857,5.9431495
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.82751,6.237857,6.0326835
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.009959,6.2209,6.1154295
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.471463,6.237857,5.85466
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.55185,6.212171,5.8820105
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.551387,6.591859,6.571623
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.900261,6.868762,6.3845115
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.139608,6.234795,6.1872015
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.146968,6.2209,6.183934
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.159576,6.399022,6.279299
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.50302,6.237857,5.3704385
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.223577,6.421514,6.3225455
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.053519,6.345712,6.1996155
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.267988,6.394188,6.331088
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.892905,6.222186,5.5575455
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.620775,6.234795,5.927785
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.195539,6.141185,6.168362
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.252203,5.791636,5.0219195
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.431411,6.187969,5.30969
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.06193,5.23158,4.646755
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.602869,6.2209,4.9118845
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.227536,5.088258,4.657897
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.013845,5.767449,4.890647
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.650831,5.855333,4.253082
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.796353,5.717786,4.7570695
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.650974,6.051179,5.3510765
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.915151,5.925927,4.920539
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.962657,5.07323,4.5179435
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.06193,5.390608,4.726269
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.084274,5.548858,4.816566
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.496931,5.931031,4.713981
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.797213,5.368623,4.582918
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.809269,7.019332,6.9143005
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.06193,5.602118,4.832024
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.750057,5.926971,4.838514
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.584611,6.571887,6.078249
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.06193,5.890244,4.976087
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.013253,5.77958,4.8964165
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.06193,5.920959,4.9914445
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.06193,5.211877,4.6369035
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.496931,5.969956,4.7334435
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.987512,6.222186,5.604849
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.124367,5.368623,4.746495
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.797213,6.234795,5.016004
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.180319,4.861311,4.520815
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.06193,6.115695,5.0888125
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.496931,5.702879,4.599905
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.036688,5.887867,4.9622775
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.805216,5.962112,4.883664
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.098273,5.178984,4.6386285
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.032301,5.670943,4.851622
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.913384,5.691783,4.8025835
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.06193,6.222867,5.1423985
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.525176,6.938731,6.7319535
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.895112,6.234795,5.5649535
