"","sample","tissue","endometriosis","severity","p226003_at","p231875_at","KIF21A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.315036,4.952658,6.633847
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.113197,4.742436,6.4278165
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.89399,4.952658,6.923324
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.267994,4.578868,5.923431
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.950075,4.769523,6.859799
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.361686,4.952658,6.657172
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.01928,5.016715,5.5179975
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.901302,4.952658,7.42698
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.258627,4.952658,6.6056425
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.260449,4.952658,6.6065535
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.115399,5.159981,7.13769
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.457635,5.239301,7.348468
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.582859,5.626728,6.6047935
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.125764,5.415839,7.2708015
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.017818,4.952658,6.985238
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.056619,4.952658,6.5046385
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.465804,4.603075,6.5344395
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.960841,4.578868,6.7698545
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.958182,4.952658,6.45542
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.2637,4.35401,5.308855
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.37625,5.402543,6.3893965
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.021681,5.335249,6.178465
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.977928,5.239301,6.1086145
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.785755,3.572982,5.1793685
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.675058,3.519851,5.0974545
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.921969,4.809027,5.865498
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.794824,4.820411,5.8076175
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.850387,5.194303,7.022345
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.967541,4.578868,6.2732045
