"","sample","tissue","endometriosis","severity","p204577_s_at","p204576_s_at","CLUAP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.613212,7.836804,6.725008
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.500406,8.079271,7.2898385
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.932558,8.057706,6.995132
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.952918,7.356173,6.6545455
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.287505,7.975975,7.13174
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.350863,7.865494,6.6081785
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.783291,5.980156,5.8817235
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.685735,9.048236,8.3669855
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.320411,8.479698,7.4000545
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.99756,7.087374,6.542467
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.266499,8.556797,7.911648
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.141839,8.327663,7.734751
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.004413,7.111072,6.0577425
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.560148,8.032512,7.79633
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.170952,7.526574,7.348763
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.557656,7.285315,6.9214855
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.406894,6.947104,6.676999
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.66641,6.560719,6.6135645
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.45969,6.217314,6.338502
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.842614,6.628857,6.2357355
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.989792,8.090935,7.0403635
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.236967,6.284587,5.760777
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.330324,7.46814,5.899232
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.346313,7.014945,6.180629
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.727413,6.517583,5.122498
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.604702,5.546059,5.5753805
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.892044,6.846382,5.369213
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.108475,8.365386,6.7369305
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.511187,6.025819,5.768503
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.717518,7.464029,6.0907735
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.668653,7.712515,6.690584
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.899847,7.867495,5.883671
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.5825,6.548003,6.0652515
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.183719,6.966173,5.574946
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.696229,8.683364,7.6897965
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.73087,6.918539,6.3247045
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.155724,7.484241,6.3199825
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.751184,8.467838,7.109511
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.666996,8.034343,6.8506695
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.611882,6.098829,5.8553555
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.38056,7.615791,6.4981755
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.681853,6.688612,6.1852325
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.844724,6.534903,6.1898135
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.167381,7.096072,6.1317265
