"","sample","tissue","endometriosis","severity","p224726_at","p224725_at","MIB1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.137411,9.182518,9.1599645
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.768348,8.161912,8.46513
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.056381,7.483108,8.7697445
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.171985,7.979713,7.575849
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.820847,9.434463,9.127655
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.473978,7.457372,7.465675
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.438735,4.761682,6.6002085
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.880306,8.439587,8.6599465
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.492121,9.017427,9.254774
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.747687,8.266412,8.0070495
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.20481,9.216046,9.210428
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.805103,8.933594,8.8693485
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.245233,7.508184,8.3767085
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.979651,9.021001,9.500326
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.571915,9.229273,9.400594
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.362992,8.866104,9.114548
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.650462,8.330506,8.490484
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.686299,8.639928,8.6631135
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.927042,9.179764,9.053403
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.922395,7.026395,6.974395
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.49317,7.060471,6.7768205
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.16412,6.979178,6.571649
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.446828,7.49254,7.469684
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.448646,5.620828,5.034737
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.819843,5.788247,5.804045
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.251712,6.282559,6.2671355
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.018271,5.753987,5.886129
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.463628,7.712703,7.0881655
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.580247,5.816621,6.198434
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.055073,6.851496,6.4532845
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.348758,5.8519,5.600329
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.49317,7.155788,6.824479
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.580444,4.531174,5.555809
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.54139,6.040311,6.2908505
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.372089,8.643555,9.507822
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.988352,6.434672,7.711512
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.18723,6.576012,6.881621
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.49317,7.961648,7.227409
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.225338,6.982856,7.104097
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.699548,6.42633,6.562939
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.669255,8.07193,7.8705925
