"","sample","tissue","endometriosis","severity","p38069_at","p209235_at","p221961_at","CLCN7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.459735,6.360888,6.238003,7.019542
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.728067,6.512388,6.315546,7.18533366666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.263919,7.594057,5.458021,7.10533233333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.078217,7.401757,6.316753,7.598909
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.964967,6.778937,6.346006,7.36330333333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.986548,7.402321,6.512721,7.63386333333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.660009,6.905448,6.210109,7.258522
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.248656,6.956925,6.371834,7.525805
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.166963,6.841353,6.204748,7.40435466666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.893267,6.86725,5.848628,7.20304833333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.137292,6.674345,5.864368,7.225335
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.727351,6.882413,6.371834,7.32719933333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.529068,7.934311,7.251762,8.23838033333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.351556,6.630755,6.179958,7.387423
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.665718,6.841353,5.848628,7.11856633333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.259357,7.378741,6.371834,7.66997733333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.104752,7.030531,6.371834,7.50237233333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.839652,5.781756,6.191929,6.937779
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.364466,5.781974,5.864368,6.67026933333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.10976,7.38922,7.262776,8.25391866666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.646702,6.438155,6.371834,7.48556366666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.641229,7.281292,6.172523,7.698348
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.602824,8.331502,7.057902,8.664076
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.6138,8.30591,6.987142,8.63561733333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.31139,8.035645,7.536599,8.627878
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.630469,8.317229,7.810961,8.919553
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.203033,8.48931,8.350086,9.34747633333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.216502,7.741582,6.919759,8.29261433333333
