"","sample","tissue","endometriosis","severity","p63305_at","p222171_s_at","PKNOX2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.056194,2.529929,3.7930615
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.34621,2.529929,3.4380695
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.86526,2.625696,3.745478
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.93893,2.370007,3.1544685
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.101843,2.529929,3.815886
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.43085,2.236067,3.3334585
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.856286,2.370007,3.1131465
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.751109,2.464664,3.6078865
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.554401,2.550228,4.0523145
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.436961,2.377067,3.407014
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.494666,2.558233,4.0264495
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.08831,2.4063,3.247305
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.316371,2.377067,3.346719
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.321135,2.921238,4.6211865
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.064595,2.706979,3.885787
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.473829,2.492969,3.483399
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.856286,2.236067,3.0461765
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.069945,2.45264,3.7612925
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.958516,2.370007,3.1642615
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.765812,2.370007,3.0679095
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.234763,3.053758,4.1442605
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.471197,2.400323,3.43576
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.514592,2.377067,3.4458295
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.030586,2.529929,3.7802575
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.367169,2.681059,4.024114
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.769735,2.529929,4.149832
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.186827,4.544304,5.8655655
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.033553,3.354889,4.694221
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.519274,2.370007,3.9446405
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.434122,3.049792,4.741957
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.604881,3.013822,4.8093515
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.455122,3.149892,4.802507
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.411241,4.781388,6.0963145
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.617192,4.024948,5.32107
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.681495,2.529929,3.605712
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.543471,2.612165,3.577818
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.021897,5.004274,6.0130855
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.109205,2.529929,3.819567
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.271137,4.20974,5.2404385
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.157232,2.529929,3.8435805
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.58655,3.494158,5.040354
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.505777,2.529929,3.517853
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.836361,2.978569,4.407465
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.674839,2.238581,3.45671
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.754983,2.377067,3.566025
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.947349,3.089369,4.518359
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.605697,4.121815,5.363756
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.699045,2.529929,3.614487
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.297643,2.525161,3.911402
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.047563,2.529929,3.788746
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.942182,2.377067,4.1596245
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.631185,2.529929,3.580557
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.217964,2.693056,3.95551
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.739244,2.529929,4.1345865
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.140151,4.44434,5.7922455
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.797812,2.529929,3.6638705
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.841571,3.549407,4.695489
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.349021,2.383327,3.366174
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.10854,2.236067,3.1723035
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.173713,2.529929,3.851821
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.526353,2.529929,4.028141
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.490449,2.370007,3.430228
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.888028,2.444885,3.6664565
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.917237,2.359727,3.138482
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.784688,2.529929,3.6573085
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.169512,4.655511,5.9125115
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.487289,4.235682,5.3614855
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.663067,3.916971,4.790019
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.10648,2.544727,3.8256035
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.040569,4.768322,5.4044455
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.579447,2.384769,3.482108
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.037887,3.890817,4.464352
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.838231,2.935673,3.886952
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.813807,4.294535,5.054171
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.762535,2.856724,3.8096295
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.189588,2.377067,3.2833275
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.610941,3.7977,4.7043205
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.934391,2.377067,3.155729
