"","sample","tissue","endometriosis","severity","p200039_s_at","p201404_x_at","PSMB2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.58587,6.790966,8.188418
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.124686,6.876747,8.5007165
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.55192,8.293219,8.9225695
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.640809,6.768546,8.2046775
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.78209,7.119363,8.4507265
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.811037,7.123396,8.4672165
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.48905,7.714927,8.6019885
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.602085,6.762129,8.182107
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.598273,6.800194,8.1992335
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.06133,6.608174,8.334752
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.764666,7.992895,8.8787805
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.700956,8.158183,8.9295695
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.875283,7.017207,7.946245
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.334984,6.998655,8.6668195
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.791913,6.762129,8.277021
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.474994,6.775425,8.1252095
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.573662,6.199127,7.8863945
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.738917,7.284038,8.5114775
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.769271,7.908199,8.838735
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.504678,7.029365,9.2670215
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.604833,7.323967,9.4644
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.209584,7.669276,9.43943
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.872628,6.762129,8.8173785
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.863622,7.616876,9.740249
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.871187,6.762129,8.816658
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.953645,6.935871,8.944758
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.223556,7.311082,9.267319
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.340042,8.076512,9.708277
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.443835,6.762129,9.102982
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.603444,7.21938,9.411412
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.680236,7.026405,9.3533205
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.086461,6.888557,8.987509
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.715129,7.827813,9.771471
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.161207,7.072978,9.1170925
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.765003,6.679533,8.722268
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.632272,7.111817,9.3720445
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.982804,7.58291,9.282857
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.493853,6.762129,9.127991
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.600572,7.16855,9.384561
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.669919,7.114637,8.892278
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.085504,6.867458,8.976481
