"","sample","tissue","endometriosis","severity","p211801_x_at","p217043_s_at","MFN1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.054609,9.131392,7.0930005
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.177675,8.590239,6.883957
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.594605,8.450209,5.522407
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.4717,8.434412,6.453056
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.821134,9.263505,7.0423195
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.970793,9.021248,6.9960205
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.780521,8.02586,5.4031905
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.874859,8.513014,6.1939365
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.238373,8.83029,6.5343315
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.23765,8.356026,6.796838
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.094051,9.248741,7.171396
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.183743,8.493981,6.338862
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.460494,7.963302,5.711898
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.874027,8.458985,6.666506
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.054051,9.195422,7.1247365
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.995671,9.078579,7.037125
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.8558,8.827324,6.841562
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.200964,9.182909,7.1919365
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.741327,8.739024,5.7401755
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.475444,6.750739,4.6130915
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,7.205906,4.746423
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,6.44172,4.3388935
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,6.177866,4.232403
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.308939,4.272503
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,5.600778,3.943859
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,5.173515,3.7302275
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,5.662685,3.9748125
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.857367,7.842661,5.350014
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,6.009075,4.1480075
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,4.369126,3.328033
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,5.552542,3.919741
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,6.891383,4.5891615
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,5.101924,3.694432
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,3.917707,3.1023235
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.741327,8.853643,5.797485
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,6.853706,4.570323
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,5.848706,4.067823
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.741327,8.218619,5.479973
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,5.420485,3.8537125
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,5.863187,4.0750635
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.2475,6.463153,4.3553265
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.92954,4.0828035
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.089421,3.662744
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,7.372812,4.829876
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.287439,4.261753
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,6.981154,4.634047
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,4.857381,3.5721605
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,6.280663,4.2838015
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,6.667059,4.4769995
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,4.909862,3.598401
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,6.815208,4.551074
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,5.961218,4.124079
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,6.539021,4.4129805
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,7.2538,4.77037
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,7.5248,4.90587
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.563684,8.283734,5.423709
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.28694,7.23184,4.75939
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.593749,8.511878,6.0528135
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.312261,9.135847,7.224054
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.481253,7.525827,5.00354
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.28694,7.648034,4.967487
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.035301,8.612421,5.823861
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.486909,7.890989,5.188949
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.54267,7.832613,5.1876415
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.562869,8.948222,6.2555455
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.349678,7.489092,4.919385
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.578009,8.205659,5.891834
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.800556,9.22794,7.014248
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.283029,8.903552,6.5932905
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.900008,9.309086,7.104547
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.0254,9.409427,7.7174135
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.23862,9.066999,7.1528095
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.707635,9.682996,7.6953155
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.595441,9.319911,7.457676
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.782526,9.405105,7.5938155
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.050767,9.183486,7.1171265
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.934806,9.118272,7.026539
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.81867,8.931231,6.8749505
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.789973,8.970857,6.880415
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.95898,8.511031,5.7350055
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.565981,9.323426,7.4447035
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.635217,9.118702,6.8769595
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.594605,7.750865,5.172735
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.004286,8.527846,6.266066
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.45137,8.465182,5.958276
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.306835,7.260859,4.783847
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,5.90564,4.09629
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,6.63698,4.46196
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.741327,8.171644,5.4564855
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,6.834508,4.560724
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.287992,7.654266,4.971129
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,5.736856,4.011898
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,6.300976,4.293958
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,7.758567,5.0227535
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,7.068308,4.677624
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.302167,7.569955,4.936061
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.268825,6.970107,4.619466
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,6.308838,4.297889
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,6.635011,4.435539
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.374802,5.311642,3.843222
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.406104,7.848149,5.1271265
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.594605,7.888596,5.2416005
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.240033,7.206113,4.723073
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,6.301361,4.2941505
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.238128,7.129633,4.6838805
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.289588,7.007438,4.648513
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,7.23867,4.762805
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,5.864769,4.050418
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,7.155572,4.721256
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.28694,7.117684,4.702312
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,7.049835,4.642951
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.289588,7.233295,4.7614415
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.594605,8.06093,5.3277675
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.30177,8.526027,6.4138985
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.898334,9.046991,6.9726625
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.169294,8.660975,6.4151345
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.072275,8.329262,6.2007685
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.972623,8.485657,6.22914
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.573626,8.784927,6.6792765
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.770987,8.579475,5.675231
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.969435,8.758177,5.863806
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.632372,8.663279,5.6478255
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",3.984508,8.776558,6.380533
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.379563,9.121794,6.2506785
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.091581,8.896078,5.9938295
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.306151,8.897267,6.101709
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.036104,8.794779,6.4154415
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.310206,8.861361,6.0857835
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.604386,8.983359,6.2938725
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.213561,9.841965,7.027763
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.264414,8.710495,5.9874545
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.595491,9.384262,6.9898765
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.372287,9.016015,6.194151
