"","sample","tissue","endometriosis","severity","p218084_x_at","p224252_s_at","FXYD5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.735603,3.752283,5.243943
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.175614,4.601377,5.8884955
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.527368,4.847362,6.187365
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.864297,8.32374,8.5940185
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.631677,6.201787,6.916732
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.67559,7.63335,8.15447
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.530788,7.627316,8.079052
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.521938,6.887977,7.2049575
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.546412,6.846164,7.196288
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.961861,8.923643,9.442752
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.206191,3.279673,4.242932
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.912932,4.592485,5.7527085
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.862725,6.774356,7.3185405
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.738939,6.440484,6.5897115
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.338867,5.792254,6.5655605
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.234632,7.490918,7.862775
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.20039,7.292701,7.7465455
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.979955,4.917176,5.4485655
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.801775,7.825399,8.313587
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.147891,10.397602,10.7727465
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.553764,8.821751,9.1877575
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.028383,11.170368,11.5993755
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.995343,10.314327,10.654835
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.408369,11.617565,12.012967
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.763592,10.924629,11.3441105
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.738204,9.938823,10.3385135
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.21986,10.415327,10.8175935
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.4036,8.307391,8.8554955
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.767216,10.089717,10.4284665
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.810221,10.075195,10.442708
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.344734,9.445419,9.8950765
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.528343,8.353335,8.940839
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.120572,10.131786,10.626179
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.639719,10.635589,11.137654
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.014215,7.192042,7.6031285
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.355287,10.350931,10.853109
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.909742,10.215391,10.5625665
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.511546,8.749175,9.1303605
