"","sample","tissue","endometriosis","severity","p211988_at","p236016_at","SMARCE1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.480615,6.655225,9.06792
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.150768,4.394625,8.2726965
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.033952,5.980086,9.007019
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.457107,5.015133,8.23612
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.847695,6.516694,9.1821945
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.182294,3.749002,7.965648
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.198111,5.015133,8.106622
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.223887,5.60134,8.9126135
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.831729,5.202178,8.5169535
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.471833,6.161878,8.8168555
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.305349,5.479262,8.8923055
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.417763,5.202178,8.8099705
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.20079,5.345179,8.2729845
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.569394,5.577401,9.0733975
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.785806,6.396888,9.091347
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.938292,5.271602,8.604947
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.391804,5.083066,8.237435
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.832582,5.2701,8.551341
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.381948,5.06133,8.221639
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.002364,4.863518,7.432941
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.227539,5.207563,7.717551
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.177382,4.500404,7.338893
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.736929,6.129336,7.9331325
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.75368,5.265145,7.5094125
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.604117,4.484382,7.0442495
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.315832,5.037969,6.6769005
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.776527,5.202178,6.9893525
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.922213,6.417399,8.669806
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.664368,3.869461,6.7669145
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.990861,4.984802,6.9878315
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.53762,5.95325,7.745435
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.779,5.202178,7.990589
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.401993,4.956264,6.6791285
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.998439,4.380774,6.6896065
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.336213,6.305689,8.820951
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.050359,5.202178,7.6262685
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.83825,5.015133,7.4266915
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.852323,6.085224,8.4687735
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.881166,5.642027,7.7615965
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.689074,4.704169,6.6966215
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.435224,7.231287,8.8332555
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.991546,5.181525,7.5865355
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.564253,5.490128,7.0271905
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.35037,7.113618,8.731994
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.952176,5.015133,7.4836545
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.660486,5.202178,7.931332
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.37451,3.634516,6.504513
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.021506,6.234052,8.127779
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.279277,5.567873,7.423575
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.6113,3.820762,6.216031
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.52682,4.774602,7.150711
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.49949,4.110089,6.8047895
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.869637,5.74023,7.8049335
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.963783,4.610149,7.286966
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.870903,5.694251,8.282577
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.008964,6.333194,8.671079
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.48172,5.263483,7.8726015
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.651781,5.940589,8.296185
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.276206,6.14404,8.710123
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.482881,5.175311,7.829096
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.301873,5.371561,7.836717
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.187614,5.264171,8.2258925
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.105957,5.342198,8.2240775
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.196016,7.443362,9.319689
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.181492,5.956716,8.569104
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.708733,6.287821,8.498277
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.070522,5.419117,8.2448195
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.27393,6.71043,9.49218
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.372084,7.22672,9.799402
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.101924,7.51531,9.808617
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.543444,8.408903,10.4761735
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.898176,6.995026,9.446601
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.305935,6.960997,9.633466
