"","sample","tissue","endometriosis","severity","p33148_at","p201856_s_at","ZFR"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.649354,7.685477,6.1674155
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.75516,7.697063,6.7261115
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.709858,6.45276,5.081309
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.733041,7.224722,5.4788815
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.283162,7.536141,6.4096515
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.673973,7.194489,5.434231
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.66149,5.640202,4.650846
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.281691,7.130389,5.70604
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.114675,7.379674,6.2471745
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.613205,7.247259,5.430232
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.628915,8.067151,6.848033
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.12876,6.744825,5.9367925
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.074365,7.297997,6.186181
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.047403,7.705935,6.376669
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.450281,7.363554,5.9069175
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.387548,7.03967,6.213609
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.060443,6.977713,5.519078
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.740027,7.113085,6.426556
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.469372,7.914566,7.191969
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.973155,4.668581,3.820868
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.689838,3.949963,3.3199005
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.99161,4.700086,3.845848
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.291651,8.011461,6.151556
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.545336,2.657149,2.6012425
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.948657,4.231782,3.5902195
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.207782,4.55139,3.879586
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.991108,4.668581,3.8298445
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.858733,5.26751,4.0631215
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.727841,4.668581,3.698211
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.858733,2.731352,2.7950425
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.867869,2.984086,2.9259775
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.807671,4.580563,3.694117
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.071755,4.350836,3.7112955
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.903156,3.883014,3.393085
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.957404,6.46928,4.713342
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.65879,4.988204,4.323497
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.879625,6.16565,4.5226375
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.697456,4.715001,3.7062285
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.910854,4.231782,3.571318
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.99161,5.797137,4.3943735
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.689838,5.272833,3.9813355
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.435802,4.16664,3.801221
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.858733,3.461633,3.160183
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.99161,4.668581,3.8300955
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.770636,3.616392,3.193514
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.81145,4.583081,3.6972655
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.117794,4.231782,3.674788
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.869155,5.154655,4.011905
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.858733,4.266197,3.562465
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.973155,4.231782,3.6024685
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.986906,4.764208,3.875557
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.686891,3.648989,3.16794
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.606387,4.668581,3.637484
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.858733,4.541387,3.70006
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.612114,4.233212,3.422663
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.115276,4.53309,3.824183
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.858733,4.955068,3.9069005
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.99161,5.799722,4.395666
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.665935,7.23347,4.9497025
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.566404,4.451906,3.509155
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.97161,5.671243,4.3214265
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.416013,5.466392,3.9412025
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.866015,5.274389,4.070202
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.990831,6.012689,4.50176
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.017596,5.692204,4.3549
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.927136,4.676559,3.8018475
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.49704,5.620047,4.0585435
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.017817,6.811384,4.9146005
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.250614,7.184627,5.2176205
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.223072,7.147269,5.1851705
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.99161,7.876916,5.434263
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.858733,7.137398,4.9980655
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.005334,7.215824,5.110579
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.047928,7.352103,5.2000155
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.99161,7.424903,5.2082565
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.255405,6.851416,5.0534105
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.547514,7.402243,5.4748785
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.635445,7.890236,6.7628405
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.180192,7.342087,5.2611395
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.259264,7.138673,6.6989685
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.716912,7.186774,4.951843
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.330758,7.294535,5.3126465
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.727863,5.19546,4.4616615
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.778218,5.710689,4.2444535
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.932237,5.620902,4.2765695
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.99161,5.027267,4.0094385
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.955277,4.668581,3.811929
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.199769,4.836787,4.018278
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.903156,5.902901,4.4030285
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.980248,4.771512,3.87588
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.973155,4.954081,3.963618
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.892399,5.466981,4.17969
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.964057,4.237168,3.6006125
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.014336,5.10152,4.057928
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.99161,5.445078,4.218344
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.12477,4.972494,4.048632
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.955277,4.882182,3.9187295
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.998388,6.044611,4.5214995
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.445,7.016051,5.2305255
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.903156,2.791627,2.8473915
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.858733,4.922018,3.8903755
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.694675,5.379114,4.0368945
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.047357,4.939286,3.9933215
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.955277,5.253347,4.104312
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.891188,4.774567,3.8328775
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.858733,5.00606,3.9323965
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.689838,3.084102,2.88697
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.029503,6.082905,4.556204
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.857591,4.29909,3.5783405
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.973155,4.541006,3.7570805
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.047489,5.229254,4.1383715
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.629419,5.901958,4.7656885
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.510484,4.414117,3.4623005
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.208165,7.153017,6.180591
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.939712,6.996154,5.967933
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.441853,7.225428,6.3336405
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.794943,6.909264,5.3521035
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.05316,7.888409,6.4707845
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.722477,6.713378,5.7179275
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.304253,6.120968,5.2126105
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.128481,6.086265,4.607373
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.603838,5.237132,3.920485
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.342909,6.954584,6.1487465
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.964463,6.56099,4.7627265
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.99161,6.340272,4.665941
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.574821,7.29515,6.9349855
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.632571,5.940901,4.286736
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.7157,6.161276,4.438488
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.651801,5.863873,4.257837
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.934369,6.151888,4.5431285
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.815818,6.538407,5.1771125
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.859566,7.874088,7.366827
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.370716,7.359934,6.865325
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.511963,7.060925,6.786444
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.955277,6.458414,4.7068455
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.307346,6.662003,5.9846745
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.171785,6.783132,5.4774585
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.911387,5.71656,4.8139735
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.194493,7.090647,6.14257
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.141226,6.858615,5.4999205
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.185718,7.055447,6.1205825
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.089179,5.492197,4.290688
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.016952,6.70393,4.860441
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.853182,7.298097,6.5756395
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.231838,7.046117,6.1389775
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.444986,6.413705,5.4293455
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.230629,7.202028,6.2163285
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.977934,6.676604,6.327269
