"","sample","tissue","endometriosis","severity","p207165_at","p209709_s_at","HMMR"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.456997,5.316173,6.886585
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.487864,6.992802,7.740333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.134208,2.688913,3.4115605
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.999417,2.688913,2.844165
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.150713,5.975019,7.062866
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.778231,2.688913,3.233572
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.334142,2.688913,3.0115275
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.809916,3.206612,4.508264
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.262758,5.20728,6.235019
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.397827,2.861169,4.129498
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.012535,4.694582,5.8535585
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.812338,3.182579,4.4974585
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.044193,2.688913,2.866553
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.750023,6.930542,7.8402825
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.391623,6.026511,7.209067
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.327105,2.450502,2.8888035
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.062506,2.688913,2.8757095
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.623958,2.688913,2.6564355
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.126786,2.688913,3.4078495
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.394217,2.585537,3.489877
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.764782,5.379644,6.572213
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.341997,2.74846,4.5452285
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.843558,2.417291,4.1304245
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.408359,2.688913,4.048636
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.52279,2.417291,3.4700405
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.81642,2.688913,4.7526665
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.231542,2.688913,4.9602275
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.75672,4.193222,5.474971
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.43155,2.688913,3.5602315
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.043983,2.854124,4.4490535
