"","sample","tissue","endometriosis","severity","p214180_at","p218918_at","MAN1C1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.962155,4.473006,5.2175805
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.828354,3.107343,4.4678485
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.421371,3.414121,4.417746
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.684051,4.700419,5.692235
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.79649,4.41969,5.10809
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.111574,5.16325,6.137412
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.611352,3.072434,4.841893
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.205634,3.147984,3.676809
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.733656,5.549196,6.141426
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.896458,4.864402,5.38043
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.785005,2.798466,3.7917355
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.267063,2.348311,3.307687
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.896458,2.558278,4.227368
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.358163,4.349464,4.8538135
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.896458,4.861682,5.37907
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.54842,5.16325,5.355835
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.019899,4.685387,5.352643
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.94192,4.123884,5.032902
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.713846,4.940213,5.3270295
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.724802,8.882279,8.8035405
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.719884,6.00361,6.361747
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.873616,8.324112,8.098864
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.314158,5.604114,5.959136
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.977476,8.119115,8.0482955
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.158152,9.263696,9.210924
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.080627,8.379623,8.230125
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.094898,7.624804,7.359851
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.184216,7.352648,7.268432
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.726548,8.097632,8.41209
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.079273,7.251075,7.165174
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.660526,5.592212,5.626369
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.856156,6.809724,6.83294
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.568011,8.232471,7.900241
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.799131,7.674614,7.2368725
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.080135,6.472486,6.7763105
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.269407,8.346145,8.307776
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.224875,8.215189,8.220032
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.151791,6.883282,7.0175365
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.101852,8.159945,8.1308985
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.439021,8.183105,8.311063
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.810544,8.048511,8.4295275
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.229235,6.944918,7.0870765
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.290109,7.659978,7.9750435
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.361565,8.848974,9.1052695
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.886599,8.28,8.0832995
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.492255,7.856377,7.674316
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.993798,6.427702,6.21075
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.562384,4.861682,5.212033
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.09394,7.409471,7.7517055
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.830192,5.16325,5.496721
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.639133,5.656269,5.647701
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.766443,7.320034,7.0432385
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.796786,8.15892,7.977853
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.663945,6.179609,5.921777
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.996022,7.825341,7.4106815
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.939935,7.982362,8.4611485
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.042092,8.162528,8.10231
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.732746,7.678827,7.7057865
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.680048,6.622447,6.6512475
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.515175,7.153146,7.3341605
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.720355,6.646047,6.683201
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.939037,7.302826,7.6209315
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.80361,7.103031,7.4533205
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.090544,6.38702,7.238782
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.900202,5.173984,5.537093
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.870422,8.746751,8.3085865
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.520225,8.051014,7.7856195
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.290438,6.491092,6.890765
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.009201,5.899937,6.454569
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.214317,6.546637,6.880477
