"","sample","tissue","endometriosis","severity","p203431_s_at","p210791_s_at","p229648_at","ARHGAP32"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.967674,4.440952,6.879503,5.096043
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.615412,5.16888,5.017455,4.60058233333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.538717,4.262093,4.668459,4.156423
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.782498,4.435913,5.354009,4.52414
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.421306,4.112544,5.28802,4.27395666666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.782498,4.538162,5.069533,4.46339766666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.644519,4.112544,4.635219,4.13076066666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.282149,4.435913,6.455441,5.39116766666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.348219,4.476294,5.666109,4.83020733333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.741556,4.16931,4.635219,4.18202833333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.559018,4.045057,5.185208,4.59642766666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.412231,4.435913,5.716166,4.52143666666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.782498,4.435913,6.202225,4.80687866666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.981776,4.112544,5.174341,4.08955366666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.900017,4.435913,6.349241,4.895057
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.822823,4.248035,5.487764,4.51954066666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.952679,4.435913,5.665214,4.684602
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.807955,4.112544,5.423303,4.11460066666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.340797,3.233057,5.265212,3.94635533333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.539186,4.101402,4.635219,5.09193566666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.003613,5.68095,5.783522,6.48936166666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.516327,3.562441,4.42406,4.50094266666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.914257,4.170044,6.183841,5.422714
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.668635,3.252551,4.411416,4.44420066666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.249512,3.441351,3.614508,4.10179033333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.178561,4.040569,3.598288,3.93913933333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.465256,4.435913,3.598288,4.16648566666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.112467,4.435913,5.5829,5.71042666666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.667781,4.435913,4.635219,4.57963766666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.638496,4.215801,3.651113,4.50180333333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.334662,4.435913,4.633165,4.80124666666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.033695,4.378191,4.9678,5.126562
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.411842,4.435913,4.769012,4.53892233333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.739816,3.204505,4.907786,4.28403566666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.937054,6.410297,7.470884,7.272745
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.672977,4.435913,4.411416,4.840102
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.249512,4.479164,5.477691,5.068789
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.887692,4.435913,6.167353,6.16365266666667
