"","sample","tissue","endometriosis","severity","p227674_at","p229794_at","ZNF585A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.571863,4.509247,4.040555
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.42393,3.358983,3.8914565
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.571863,3.474443,3.523153
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.546833,3.358983,3.452908
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.111643,3.474443,3.293043
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.111643,2.682425,2.897034
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.571863,3.09721,3.3345365
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.217955,3.61802,3.4179875
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.530006,3.430262,3.980134
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.865504,3.362423,3.6139635
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.623421,3.370606,2.9970135
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.043578,3.801367,3.4224725
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.034436,2.761035,2.8977355
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.111643,3.519242,3.3154425
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.571863,3.578296,3.5750795
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.187987,3.430262,3.3091245
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.571863,3.474443,3.523153
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.111643,3.474443,3.293043
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.111643,3.358983,3.235313
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.063107,2.97602,3.5195635
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.932334,3.648641,4.2904875
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.349048,2.97602,3.662534
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.71258,3.422734,3.067657
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515345,2.852244,3.6837945
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.734209,2.236067,2.985138
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.499877,3.312404,3.9061405
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.287827,2.236067,2.761947
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.441146,3.645458,4.043302
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.929109,3.358983,5.144046
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.36233,3.312404,3.837367
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.571863,3.33277,3.4523165
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.44323,3.481765,3.9624975
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.102281,3.312404,3.2073425
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.768098,2.236067,3.0020825
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.751058,4.843358,5.297208
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.714597,2.236067,2.975332
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.571863,3.474443,3.523153
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.870262,3.430262,4.650262
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.517246,3.42426,3.970753
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.243346,3.358983,3.3011645
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.748673,3.312404,3.5305385
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.546325,2.97602,3.2611725
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.915044,3.358983,4.1370135
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.161372,4.159123,4.1602475
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.571386,2.913271,3.2423285
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.094262,3.568072,4.331167
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.571863,2.97602,3.2739415
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.892936,3.358983,3.1259595
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.500265,2.97602,3.7381425
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.370973,3.430262,3.9006175
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.180035,3.430262,3.3051485
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.051868,3.083958,3.567913
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.152016,3.430262,3.791139
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.495286,2.949423,3.2223545
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.571863,3.381145,3.476504
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.907724,4.906081,5.9069025
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.965762,3.430262,3.698012
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.361274,3.474443,3.9178585
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.235044,4.231683,4.7333635
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.21896,3.474443,4.3467015
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.095801,3.378911,3.737356
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.562055,3.597556,4.5798055
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.934404,3.474443,3.7044235
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.527399,4.863519,5.195459
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.462424,5.024838,5.243631
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.44977,3.362624,3.406197
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.952401,3.540754,3.7465775
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.445448,5.00133,5.223389
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.704661,5.43083,5.5677455
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.968754,5.411828,5.190291
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.464326,5.473032,5.468679
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.437779,5.093426,5.7656025
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.637701,4.996523,5.317112
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.299522,4.799035,5.0492785
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.154814,5.241633,5.6982235
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.197992,5.180895,5.6894435
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.496783,5.442338,5.4695605
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.38848,5.022303,5.7053915
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.982755,4.78706,5.3849075
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.257859,4.84181,5.0498345
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.9552,5.394699,5.6749495
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.864412,5.116159,5.4902855
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.544284,4.687597,3.6159405
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.858788,3.754875,4.8068315
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.092958,4.884962,4.98896
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.767139,3.358983,3.563061
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.089475,3.358983,3.224229
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.89883,3.358983,3.6289065
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.462534,3.67602,4.069277
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.635953,3.312404,3.4741785
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.183637,3.170091,4.176864
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.263863,3.873939,3.568901
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.434476,3.358983,2.8967295
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.596664,3.358983,3.9778235
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.166502,3.366056,4.266279
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.255925,3.358983,3.807454
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.033466,3.728454,4.38096
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.292505,3.316185,3.304345
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.571863,3.474443,3.523153
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.571863,3.358983,3.465423
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.866306,3.833085,3.8496955
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597674,4.110905,3.3542895
