"","sample","tissue","endometriosis","severity","p203381_s_at","p203382_s_at","p212883_at","p212884_x_at","APOE"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.862171,8.308557,2.994179,9.720078,7.72124625
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.701641,7.803661,2.994179,10.151263,7.662686
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.615225,9.816114,4.603111,10.604108,8.9096395
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.723789,9.228405,2.994179,10.347682,8.32351375
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.00741,8.243185,2.512782,9.414013,7.5443475
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.593802,9.372471,2.994179,10.19112,8.287893
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.392314,8.912211,2.994179,10.031267,7.83249275
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.435718,10.002126,2.994179,10.530474,8.74062425
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.534634,9.053244,2.696779,9.958234,8.06072275
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.325963,9.956765,2.994179,10.526348,8.70081375
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.818125,8.073175,2.516513,9.780005,7.5469545
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.135313,8.38209,2.994179,9.807186,7.829692
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.564666,7.935934,2.994179,10.216781,7.42789
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.536296,9.389498,2.994179,10.17728,8.27431325
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.421664,8.321575,2.277815,9.318074,7.334782
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.759871,9.481151,2.994179,10.216781,8.3629955
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.109898,8.980277,2.871011,10.160492,8.0304195
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.877482,9.53676,2.994179,10.169278,8.39442475
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.915093,9.996985,2.994179,10.216781,8.5307595
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.812025,11.152059,6.635629,11.179668,10.19484525
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.288795,9.463682,3.922006,10.120079,8.4486405
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.191641,11.251792,6.150072,11.29406,10.22189125
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.75386,12.654755,6.360846,12.368501,11.0344905
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.547738,11.377865,5.205745,11.34632,9.869417
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.00792,11.169234,3.533548,11.101277,9.45299475
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.429054,10.639239,4.204945,10.865171,9.28460225
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.184604,11.252676,6.426506,11.609663,10.11836225
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.582378,9.671328,2.994179,10.016041,8.3159815
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.316512,9.63357,2.994179,10.216781,8.2902605
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.526956,10.776486,4.265834,10.928967,9.12456075
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.784127,9.472318,3.168219,10.029218,8.1134705
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.225092,9.2063,2.996483,9.969795,8.0994175
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.294548,10.941229,3.806394,10.951515,9.2484215
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.161389,11.418376,3.863996,11.303871,9.686908
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.936944,9.329859,3.379603,9.968243,8.15366225
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.220138,11.466942,6.299638,11.206882,10.2984
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.798433,10.299636,4.889658,10.634974,9.15567525
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.31112,9.405377,3.94881,9.808555,8.3684655
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.908488,10.070428,5.171137,10.472656,9.15567725
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.467626,10.526986,3.665391,10.948957,8.90224
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.762826,9.633204,3.868196,10.170121,8.35858675
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.676288,11.795434,5.561402,11.771888,10.451253
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.153369,9.939992,3.579782,10.466422,8.53489125
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.52865,10.79547,5.824211,10.739017,9.721837
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.324526,11.676934,5.503132,11.379981,10.22114325
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.082048,10.52659,5.087142,10.724712,9.355123
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.031461,10.222644,4.168049,10.563486,8.74641
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.454968,11.810608,5.824996,11.774408,10.466245
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.422195,10.978917,5.880485,10.991625,9.8183055
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.886106,10.701029,4.488258,10.977531,9.263231
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.205773,10.737456,2.994179,11.032479,8.99247175
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.321727,12.387494,6.531841,12.009744,11.0627015
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.847708,10.886503,6.4614,11.124192,10.07995075
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.126158,8.083607,2.994179,9.071253,7.31879925
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.36013,9.562007,4.706001,10.383222,8.75284
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.616061,9.393038,3.453939,9.956637,8.10491875
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.776599,9.413129,2.512782,10.216781,7.97982275
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.463013,10.885409,4.720988,10.949008,9.5046045
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.495082,10.06759,5.386189,10.247893,9.2991885
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.864844,10.047823,4.477543,10.216781,8.90174775
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.535005,9.435556,3.528158,9.997625,8.374086
