"","sample","tissue","endometriosis","severity","p226047_at","p230214_at","MRVI1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.475102,5.515166,5.995134
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.83852,4.382433,5.6104765
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.663526,9.176528,8.920027
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.331447,7.180918,7.2561825
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.460763,5.265827,6.363295
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.421901,5.599562,6.5107315
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.666528,6.200728,6.933628
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.842726,7.409906,8.126316
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.824738,8.506444,8.665591
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.137532,4.436399,5.7869655
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.813149,6.853391,7.83327
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.427352,5.972354,7.199853
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.978638,7.252933,7.1157855
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.730415,7.2238,8.4771075
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.639438,7.858884,7.749161
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.348765,7.180816,7.2647905
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.23433,4.41038,5.322355
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.358595,6.496233,6.927414
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.864111,4.932578,5.8983445
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.794994,5.450873,6.1229335
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.79611,4.159355,4.9777325
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.376445,4.624874,6.0006595
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.672425,5.984289,6.328357
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.323648,4.119548,5.721598
