"","sample","tissue","endometriosis","severity","p221596_s_at","p221595_at","RBM48"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.601425,2.58807,5.0947475
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.193739,3.27724,4.7354895
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.613033,2.58807,4.1005515
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.977249,2.794835,4.386042
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.687165,2.236067,4.461616
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.375406,2.236067,4.3057365
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.823062,2.58807,3.705566
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.217905,2.672169,4.445037
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.759554,3.4055,5.082527
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.296302,2.58807,4.442186
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.090649,2.58219,4.8364195
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.415122,2.794835,5.1049785
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.674482,2.794835,4.2346585
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.93051,2.976436,4.953473
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.247907,3.349432,5.2986695
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.233496,2.661012,4.947254
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.980821,3.349432,5.1651265
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.533831,2.734847,5.134339
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.249068,3.297426,5.273247
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.205116,4.288118,5.246617
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.270211,3.805215,5.037713
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.15252,2.58807,4.370295
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.15252,3.27724,4.71488
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.104612,2.706118,4.405365
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.468856,3.349432,4.409144
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.691599,2.794835,3.743217
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.923017,2.794835,3.858926
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.262726,4.360162,5.311444
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.46653,2.891841,4.1791855
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.981589,3.349432,4.6655105
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.741384,3.887352,5.314368
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.741376,3.27724,4.509308
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.743781,2.58807,3.6659255
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.074167,2.794835,3.934501
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.715991,4.41118,6.0635855
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.022249,3.048074,4.5351615
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.15252,2.58807,4.370295
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.830346,3.965589,5.3979675
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.434315,3.289818,4.8620665
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.266698,3.238675,4.2526865
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.226968,3.900164,5.063566
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.18859,3.234817,4.7117035
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.475762,3.232864,4.354313
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.523476,2.58807,4.055773
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.137025,3.332391,4.734708
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.288677,3.259628,4.7741525
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.572333,3.183144,3.8777385
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.558966,2.58807,4.573518
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.180169,3.232747,4.706458
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.570352,2.745382,4.157867
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.438064,2.842187,4.1401255
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.96483,3.349432,4.657131
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.235494,2.58807,3.911782
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.15252,2.58807,4.370295
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.024636,4.034383,5.0295095
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.680508,4.408832,5.54467
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.082563,2.632529,4.357546
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.980757,3.164146,4.5724515
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.909271,3.776722,5.3429965
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.15252,3.27724,4.71488
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.742459,2.794835,4.268647
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.800746,3.44825,4.624498
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.297323,4.015937,5.15663
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.579148,4.714908,5.647028
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.699607,5.056838,6.3782225
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.584199,3.289589,4.436894
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.643352,2.948613,4.2959825
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.879574,5.056975,6.4682745
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.979827,5.397862,6.6888445
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.664445,4.735538,6.1999915
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.996847,5.644213,6.82053
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.205368,5.043557,6.6244625
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.959616,5.219057,6.5893365
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.89116,4.640223,6.2656915
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.531487,4.612802,6.0721445
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.062987,5.02515,6.5440685
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.16953,5.172855,6.6711925
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.669664,5.626108,6.647886
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.838995,5.217144,6.5280695
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.265425,4.653431,5.959428
