"","sample","tissue","endometriosis","severity","p1553749_at","p1553750_a_at","FAM76B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.317889,5.310134,5.8140115
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.214552,6.037068,6.12581
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.072501,3.730289,5.401395
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.214552,5.193707,5.7041295
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.283505,6.160461,5.721983
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.104906,3.411397,5.2581515
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.214552,2.965543,4.5900475
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.744521,3.16953,4.9570255
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.404104,5.191322,6.297713
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.936828,4.687419,5.8121235
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.52203,5.95522,6.738625
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.769064,4.779118,5.774091
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.289017,4.141427,4.715222
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.230345,3.400285,4.315315
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.317889,3.225126,4.7715075
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.731268,5.12224,5.426754
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.744366,4.045649,4.8950075
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.310403,4.632084,5.9712435
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.019057,5.432441,6.225749
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.964678,2.983212,4.973945
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.507583,2.965543,4.736563
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.024786,2.706288,4.365537
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.481708,3.056722,3.769215
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.253548,3.056722,3.655135
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.326979,2.965543,3.646261
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.326979,2.965543,3.646261
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.71326,2.965543,3.3394015
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.198055,2.983212,4.0906335
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.328879,2.706288,3.0175835
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.658052,3.056722,3.857387
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.328879,2.983212,3.1560455
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.355937,2.965543,3.66074
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.176998,3.056722,3.11686
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,2.983212,2.6096395
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.478264,3.666533,6.0723985
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.352584,2.983212,4.667898
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.057679,2.965543,4.011611
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.018042,3.063609,5.0408255
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.072423,2.965543,4.518983
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.176998,2.983212,3.080105
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.757222,2.956077,4.3566495
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.326979,2.983212,3.6550955
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.678382,3.056722,3.867552
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.768187,2.983212,4.8756995
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.580466,2.983212,3.781839
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.067823,2.965543,5.016683
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.501141,2.983212,3.7421765
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.328879,3.056722,3.1928005
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.390422,2.712989,4.0517055
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.375963,2.706288,4.0411255
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.096409,2.983212,3.0398105
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.168243,2.706288,4.4372655
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.803549,2.965543,3.884546
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.328879,2.983212,3.1560455
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.225461,2.965543,4.595502
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.317889,3.115289,4.716589
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.19995,3.056722,3.628336
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.787843,3.125236,4.9565395
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.39397,4.423133,6.4085515
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.324141,3.056722,5.1904315
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.328879,3.06265,3.1957645
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.214552,3.013111,4.6138315
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.318176,3.096343,4.7072595
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.991548,2.708233,4.8498905
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.927697,3.2876,5.6076485
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.326979,2.983212,3.6550955
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.56012,3.056722,4.308421
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.413088,3.810385,7.1117365
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.700094,3.27905,5.989572
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.953809,5.655195,7.304502
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.454334,5.449914,7.452124
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.089804,4.617243,6.8535235
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.236148,6.057448,7.646798
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.348832,6.003,7.675916
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.11002,5.499099,7.3045595
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.184648,4.414157,6.7994025
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.372418,3.377018,6.374718
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.799956,3.642223,6.2210895
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.885573,4.457919,6.671746
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.590391,3.109953,4.850172
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.690658,3.000722,5.84569
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.647092,3.460091,6.5535915
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.364747,3.185201,4.274974
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.214552,4.634264,5.424408
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.740042,3.071916,4.905979
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.259076,3.056722,3.657899
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.326979,2.983212,3.6550955
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.852418,2.706288,3.779353
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.013211,3.187837,4.100524
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.957207,2.965543,3.461375
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.298631,2.983212,4.6409215
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.176998,3.206472,3.191735
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.352319,2.983212,4.1677655
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.794906,2.72993,5.262418
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.158552,3.145593,4.1520725
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.214552,2.732128,4.47334
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.317889,3.056722,4.6873055
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.326437,2.983212,4.6548245
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.493664,3.056722,2.775193
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.176998,3.056722,3.11686
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.1607,2.987048,4.573874
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.689462,3.286498,5.48798
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.700697,2.965543,4.83312
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.328879,2.965543,3.147211
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.405287,2.983212,4.6942495
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.537141,2.840441,4.688791
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.789068,2.983212,4.38614
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.328879,3.056722,3.1928005
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.981628,2.949803,4.9657155
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.665876,3.056722,4.361299
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.328879,2.976203,3.152541
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.176998,3.056722,3.11686
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.695336,3.056722,4.876029
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.114947,4.636375,5.875661
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.971466,5.292425,5.1319455
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.920719,4.358027,5.139373
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.881451,4.319373,5.100412
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.630247,4.160578,4.8954125
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.687961,4.425251,4.556606
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.877545,2.983212,3.9303785
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.413773,4.68959,6.5516815
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.745564,3.056722,5.901143
