"","sample","tissue","endometriosis","severity","p1558507_at","p1558508_a_at","C1orf53"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.992005,4.384604,4.1883045
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.963545,3.582595,3.27307
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.992005,2.908655,3.45033
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,2.908655,2.572361
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.640025,3.938046
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.912234,3.319012,3.115623
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,2.901598,2.5688325
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.194733,4.853987,4.02436
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.902016,3.5690415
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.992005,5.005267,4.498636
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.463214,5.053401,3.7583075
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.528296,5.688322,4.108309
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.007783,2.621925
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.253545,5.818077,4.035811
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.501923,3.868995
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.364597,5.581394,3.9729955
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.868097,3.15094,3.0095185
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.275176,3.962333,3.6187545
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.992005,3.962333,3.977169
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.734489,9.524552,7.6295205
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.272822,9.740402,7.506612
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.606201,9.803787,8.204994
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.569465,7.155125,5.862295
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.194133,9.518427,7.85628
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.732375,9.638731,8.185553
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.931156,10.928988,9.430072
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.187587,10.967019,9.077303
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.493318,9.393763,7.9435405
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.980148,9.403634,7.691891
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.802806,10.159742,8.481274
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.0073,10.926896,8.967098
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.667313,9.660652,8.1639825
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.276117,10.583494,8.9298055
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.988353,11.05542,9.5218865
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.856196,8.618462,6.737329
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.224027,10.835473,9.02975
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.245467,10.844063,9.044765
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.487931,9.7558,8.1218655
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.831364,11.255647,9.5435055
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.425157,9.630928,8.0280425
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.666895,9.511418,7.5891565
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.042062,8.877195,7.4596285
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.137884,10.950159,9.0440215
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.683966,8.519704,6.601835
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.78686,10.138236,8.462548
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.665475,11.029043,9.347259
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.354941,11.392404,9.8736725
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.853823,9.355597,7.60471
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.699026,10.991352,9.345189
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.04714,11.815673,9.9314065
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.003604,10.808839,8.9062215
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.424912,11.175629,9.8002705
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.711786,10.75284,9.232313
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.443356,9.011221,7.2272885
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.651584,8.766476,7.20903
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.685739,8.768377,6.727058
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.800906,9.624212,7.712559
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.639074,7.854575,6.2468245
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.87599,7.990259,6.4331245
