"","sample","tissue","endometriosis","severity","p202011_at","p214168_s_at","TJP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.587468,5.896436,8.741952
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.646741,7.211618,8.9291795
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.3323,7.562677,9.4474885
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.181284,8.538038,10.359661
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.536482,7.857879,9.6971805
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.243339,7.992907,10.118123
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.574026,7.711263,9.6426445
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.551558,5.860349,8.7059535
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.308209,7.069926,9.1890675
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.216833,8.452944,10.3348885
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.893335,7.949883,9.921609
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.822609,7.242642,9.5326255
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.747147,6.692324,9.2197355
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.191239,7.634093,9.912666
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.46187,6.349418,8.905644
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.385535,7.838409,10.111972
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.712178,8.593041,10.6526095
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.94887,7.853443,9.9011565
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.901427,7.366043,9.633735
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.464056,6.499383,8.9817195
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.988211,3.619989,6.8041
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.090634,4.31515,7.202892
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.314286,4.545022,7.429654
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.765203,4.35592,7.0605615
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.311554,4.560206,7.43588
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.819085,4.020094,6.4195895
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.07362,3.353687,6.2136535
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.86719,5.432552,8.149871
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.60125,2.239197,5.9202235
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.590587,3.762028,6.6763075
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.048688,3.556101,6.8023945
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.717257,4.658819,7.688038
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.704065,4.31515,6.5096075
