"","sample","tissue","endometriosis","severity","p220937_s_at","p221551_x_at","ST6GALNAC4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.089075,4.932274,5.5106745
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.296763,5.801471,6.049117
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.983725,4.692454,5.8380895
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.219158,6.198657,6.7089075
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.609127,5.137374,6.3732505
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.269233,5.854265,6.561749
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.577725,5.309035,5.94338
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.834335,5.924748,6.3795415
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.711155,4.932274,5.8217145
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.015096,6.070251,7.0426735
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.979536,5.869748,6.424642
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.092334,5.72849,6.410412
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.731195,5.084067,4.907631
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.269822,6.003463,6.6366425
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.016349,5.147633,6.081991
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.865396,5.140317,6.0028565
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.148371,6.207323,6.677847
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.514348,4.932274,6.223311
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.698046,6.254612,6.976329
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.263513,8.210229,8.736871
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.976604,7.527893,8.2522485
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.944498,8.977541,9.4610195
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.393037,6.395259,6.894148
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.174659,9.185747,9.680203
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.608586,9.146639,9.3776125
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.487,8.823657,9.1553285
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.445376,9.419862,9.932619
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.542555,8.677065,9.10981
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.340538,7.107469,7.7240035
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.811593,8.815164,9.3133785
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.860679,9.11186,9.4862695
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.9983,8.067521,8.5329105
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.692044,9.954949,10.3234965
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.843665,10.144359,10.494012
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.867523,6.775321,7.321422
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.426626,9.411739,9.9191825
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.318467,9.224301,9.771384
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.059038,6.976213,7.5176255
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.464844,8.468209,8.9665265
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.423155,8.290582,8.8568685
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.849655,6.519389,7.184522
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.45468,8.551964,9.003322
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.475127,7.120181,7.797654
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.489772,7.230942,7.860357
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.831221,9.238153,9.534687
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.862131,8.499636,9.1808835
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.946599,8.959365,9.452982
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.714559,7.720613,8.217586
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.083432,8.125839,8.6046355
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.916745,8.960709,9.438727
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.860792,8.739281,9.3000365
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.270089,10.40993,10.8400095
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.007392,8.896376,9.451884
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.489417,8.635606,9.0625115
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.389677,8.465883,8.92778
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.116386,5.672322,6.394354
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.750895,8.549158,9.1500265
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.3791,8.612301,8.9957005
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.00277,7.822458,8.412614
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.776436,7.375688,8.076062
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.826091,8.797449,9.31177
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.907859,8.987628,9.4477435
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.000504,7.919618,8.460061
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.051979,6.824891,7.438435
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.095655,6.912543,7.504099
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.86799,9.106221,9.4871055
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.339308,9.616006,9.977657
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.403734,6.236935,6.8203345
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.606867,6.564545,7.085706
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.381727,6.055042,6.7183845
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.351864,6.073188,6.712526
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.025369,5.513688,6.2695285
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.001953,6.516973,7.259463
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.740922,6.236025,6.9884735
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.507566,6.050185,6.7788755
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.584009,6.660942,7.1224755
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.751444,6.818361,7.2849025
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.340473,7.601495,7.970984
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.051117,6.851884,7.4515005
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.002701,5.689456,6.3460785
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.70352,6.802813,7.2531665
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.996105,6.676079,7.336092
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.617268,8.622934,9.120101
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.555128,6.470019,7.0125735
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.087804,8.931616,9.50971
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.322106,9.365877,9.8439915
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.825831,8.732183,9.279007
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.827642,9.089212,9.458427
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.530448,8.634701,9.0825745
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.909119,9.044112,9.4766155
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.321575,7.094697,7.708136
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.80746,8.671856,9.239658
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.284255,8.523488,8.9038715
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.978598,7.706161,8.3423795
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.110406,7.889231,8.4998185
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.756148,7.112286,7.934217
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.836083,8.783671,9.309877
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.01127,7.632724,8.321997
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.490809,7.09698,7.7938945
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.581783,6.181624,6.3817035
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.22439,8.170241,8.6973155
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.479017,8.365329,8.922173
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.397983,8.525733,8.961858
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.923889,8.868015,9.395952
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.696755,7.725033,8.210894
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.874972,7.982213,8.4285925
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.966269,7.686053,8.326161
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.702434,7.622598,8.162516
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.856829,7.580534,8.2186815
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.410081,8.327014,8.8685475
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.823808,8.420489,9.1221485
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.724456,7.708771,8.2166135
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.399608,7.560996,7.980302
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.634755,5.86102,6.7478875
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.087604,5.525549,6.3065765
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.431144,5.980685,7.2059145
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.951885,6.285825,7.118855
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.62273,5.760297,6.6915135
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.057788,6.81299,6.935389
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.918088,6.066041,6.9920645
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.850183,4.746337,5.29826
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.736743,6.52753,7.1321365
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.266439,4.400761,5.3336
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.197709,4.939415,5.568562
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.765965,5.953922,6.8599435
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.576442,3.736078,4.65626
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.607629,5.127889,5.867759
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.668253,5.962378,6.8153155
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.909088,6.771696,7.340392
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.02426,5.773583,6.3989215
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.07282,5.508685,6.2907525
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.559289,4.932274,5.7457815
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.914391,4.962,5.9381955
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.689356,4.950857,5.8201065
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.091366,5.456549,6.2739575
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.209695,4.912518,6.0611065
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.582635,5.158609,5.870622
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.341561,4.364298,4.8529295
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.585453,6.561658,7.0735555
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.408467,4.932274,5.6703705
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.457778,5.296071,6.3769245
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.052141,4.979093,6.015617
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.089152,5.407472,6.248312
