"","sample","tissue","endometriosis","severity","p202120_x_at","p208074_s_at","p211047_x_at","AP2S1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.785343,9.735709,10.890419,10.137157
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.61792,10.52938,11.807362,10.9848873333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.724835,9.454265,10.947935,10.042345
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.035729,9.561588,10.871615,10.1563106666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.476901,10.297885,11.553807,10.7761976666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.951695,9.895427,11.217403,10.3548416666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.6287,8.888346,10.551176,9.68940733333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.419104,10.249147,11.73632,10.8015236666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.356661,10.26446,11.321654,10.6475916666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.552562,10.253452,11.25523,10.6870813333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.697643,10.400457,11.537634,10.878578
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.419698,10.146854,11.383558,10.6500366666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.443343,9.150491,10.478556,9.69079666666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.836621,10.589355,11.809517,11.0784976666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.655632,10.406639,11.462788,10.8416863333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.641907,9.8163,10.959521,10.1392426666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.033503,9.426205,10.860735,10.1068143333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.815167,9.659151,10.977881,10.150733
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.157202,9.727908,10.858774,10.2479613333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.531279,11.686223,12.509649,11.9090503333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.822746,12.000457,12.870788,12.2313303333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.973567,12.032976,12.854809,12.2871173333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.716196,11.616448,12.702787,12.0118103333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.854172,11.90944,12.906678,12.22343
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.035738,12.045581,12.964545,12.3486213333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.434169,12.364255,13.165832,12.654752
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.590637,12.497604,13.527295,12.8718453333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.107977,12.227028,12.866163,12.4003893333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.685648,11.685711,12.506828,11.9593956666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.545297,12.406746,13.190832,12.7142916666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.106338,11.989802,13.122319,12.406153
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.18184,12.264102,12.880379,12.442107
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.437757,12.406515,13.288929,12.711067
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.97162,13.021574,13.802412,13.265202
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.689972,10.552444,11.423017,10.8884776666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.756276,11.737778,12.575459,12.023171
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.269136,12.346199,12.992827,12.536054
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.153603,11.255494,12.084337,11.4978113333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.290217,12.324819,13.311122,12.6420526666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.559723,11.679092,12.715383,11.9847326666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.590744,11.557553,12.570354,11.906217
