"","sample","tissue","endometriosis","severity","p242907_at","p202748_at","GBP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.173006,7.304808,6.238907
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.748536,4.4923015
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.157387,9.056363,6.106875
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.175818,11.711568,9.943693
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.85999,7.723148,5.791569
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.532629,11.207056,9.8698425
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.461701,11.964505,10.213103
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.810024,8.584444,6.197234
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.639967,7.441487,5.540727
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.603563,10.759889,9.181726
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.435314,7.889562,6.162438
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.792734,9.690405,7.7415695
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.94664,11.801658,10.874149
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.908689,9.178625,7.543657
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.202905,7.289288,5.7460965
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.400274,12.654196,11.527235
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.688478,12.136688,10.912583
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.024061,10.937888,9.4809745
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.982251,11.272557,10.127404
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.220399,10.434775,9.327587
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.99717,6.844305,4.9207375
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.395738,9.715674,8.055706
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.112752,10.289398,9.701075
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.300494,9.62443,7.462462
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.944867,8.672422,7.8086445
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.284015,5.947947,5.115981
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.655849,6.834802,5.7453255
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.151393,6.91506,6.0332265
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.710681,8.64399,7.6773355
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.435314,6.59968,5.517497
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.680715,6.998027,5.839371
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.673752,7.250973,6.4623625
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.99717,5.550442,4.273806
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.99717,6.594161,4.7956655
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.112262,8.784966,6.948614
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.197849,9.793201,8.495525
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.655849,6.991427,5.823638
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.225845,10.170046,8.6979455
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.703149,6.991427,5.847288
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.559709,9.148926,8.3543175
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.265162,7.870971,7.5680665
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.655849,9.207711,6.93178
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.856511,8.287278,7.0718945
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.21332,11.157125,10.1852225
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.218237,9.233868,7.7260525
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.534401,7.334004,5.9342025
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.310463,6.045473,4.677968
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.288334,9.264769,8.7765515
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.845474,9.124544,8.485009
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.655849,6.646569,5.651209
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.002543,6.054384,4.5284635
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.655849,9.440691,7.04827
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.279442,8.135151,6.7072965
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.165795,5.928306,5.0470505
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.628051,6.599103,5.113577
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.695106,9.119535,7.4073205
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.455705,7.335307,5.395506
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.035769,10.891418,8.9635935
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.685141,10.816779,8.75096
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.435314,8.331715,6.3835145
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.054686,8.433175,7.2439305
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.631205,10.526304,8.5787545
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.327711,11.178521,9.753116
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.121795,11.369712,9.7457535
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.276137,7.086729,5.681433
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.777729,7.357592,6.0676605
