"","sample","tissue","endometriosis","severity","p225971_at","p225970_at","DDHD1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.622783,4.928613,6.275698
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.710652,4.232255,5.9714535
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.338766,3.955172,5.646969
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.12494,3.955172,5.040056
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.45452,5.890919,7.1727195
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.716307,4.486969,5.101638
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.123289,4.821711,5.4725
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.276267,4.960116,6.6181915
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.378737,6.246795,7.812766
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.81482,4.817968,5.816394
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.597856,7.070637,7.8342465
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.718746,5.179246,6.948996
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.796491,5.398316,6.0974035
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.5792,6.767831,7.6735155
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.49315,6.600067,7.5466085
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.483726,4.480721,5.9822235
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.687521,4.554823,6.121172
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.307288,4.075135,5.6912115
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.961069,6.198988,7.0800285
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.423571,3.724545,4.574058
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.307491,3.416827,4.862159
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.988481,3.955172,4.9718265
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.797877,8.055338,8.4266075
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.304541,3.468459,4.8865
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.122643,3.659808,4.3912255
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.500894,3.537883,5.0193885
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.53646,5.04659,5.791525
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.414047,4.894681,6.154364
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.299231,3.93109,5.1151605
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.949104,3.93109,5.440097
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.038233,4.78892,5.9135765
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.416816,3.738942,5.077879
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.398535,3.468459,4.433497
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.601781,3.416827,4.009304
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.677386,5.581377,6.6293815
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.583396,3.71915,4.651273
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.75862,3.955172,5.356896
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.427072,5.44391,6.435491
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.174712,5.16724,6.170976
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.650286,3.575032,4.112659
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.862674,5.929341,7.3960075
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.239504,3.948174,5.093839
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.910262,3.955172,4.932717
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.973003,4.539375,5.756189
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.94421,4.522132,4.733171
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.937726,4.888998,5.913362
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.171403,3.93109,4.5512465
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.53646,4.581584,5.559022
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.984464,3.826048,4.905256
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.938517,3.468459,4.203488
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.869848,3.937133,4.4034905
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.617041,3.397463,4.007252
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.915617,4.145885,5.530751
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.778954,3.82746,5.303207
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.315585,4.529929,6.422757
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.604022,5.421455,6.5127385
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.470111,4.412071,5.941091
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.853331,4.052015,5.452673
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.593728,5.676039,6.6348835
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.913902,3.93109,5.422496
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.517704,4.035155,5.2764295
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.651496,4.210131,5.4308135
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.263373,4.683714,5.9735435
