"","sample","tissue","endometriosis","severity","p212126_at","p209715_at","p226085_at","p231862_at","CBX5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.140656,6.206144,11.345492,7.300846,8.2482845
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.556046,7.225116,10.754261,8.762574,9.07449925
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.634241,6.056954,9.998529,8.143467,8.20829775
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.112101,6.232796,8.800382,7.108404,7.56342075
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.499343,6.117221,10.827757,9.332295,8.944154
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.358597,5.891094,9.310703,5.692059,7.06311325
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.443089,5.449006,8.32003,6.208998,7.10528075
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.091154,6.366563,9.37173,8.125294,8.23868525
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.142564,6.232796,11.59073,8.804452,8.9426355
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.359841,6.521784,10.124027,7.378932,8.096146
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.830803,7.052117,10.899009,9.02896,8.95272225
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.995168,6.232796,9.99214,8.847835,8.76698475
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.158686,6.732141,10.846642,6.063226,7.70017375
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.403199,7.668749,11.870052,9.628098,9.8925245
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.706068,6.80633,12.399104,9.077979,9.49737025
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.097307,5.722372,10.840717,7.995032,8.163857
