"","sample","tissue","endometriosis","severity","p202040_s_at","p226371_at","p230226_s_at","KDM5A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.796238,7.691799,7.28789,7.925309
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.958847,6.761921,6.865,7.52858933333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.862193,6.154419,5.803998,6.94020333333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.947636,6.211609,6.09957,6.75293833333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.826137,6.854668,7.655067,7.44529066666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.777279,5.949454,5.999496,6.57540966666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.128217,6.154419,5.999496,7.094044
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.800495,6.882123,6.793871,7.492163
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.056606,6.815331,6.559894,7.477277
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.113151,5.429868,6.20597,6.58299633333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.514659,6.267587,6.985805,7.256017
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.32729,6.404974,6.46574,7.06600133333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.519207,5.837713,5.791162,7.04936066666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.532778,6.364925,6.826922,7.574875
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.211519,7.241228,6.613004,7.68858366666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.211374,6.692333,7.309996,7.737901
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.763128,7.065464,6.786207,7.53826633333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.794444,6.400658,6.448982,7.21469466666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.708151,7.040011,6.823477,7.52387966666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.508044,5.598142,5.308728,5.80497133333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.244094,5.631442,5.37754,5.75102533333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.517627,5.429868,5.236667,5.39472066666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.12927,5.561128,4.669172,6.11985666666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.746799,5.573257,4.737375,5.01914366666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.189826,5.145496,4.75284,5.02938733333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.26853,5.429868,4.828995,5.17579766666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.780591,5.429868,5.147335,4.78593133333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.418063,6.112226,6.012783,6.181024
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.835938,5.857115,5.447749,5.71360066666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.89705,5.469113,4.358507,4.57489
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.5572,6.170799,4.331388,4.68646233333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.193953,5.709115,5.335036,5.74603466666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.288126,4.719831,4.405844,4.471267
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.261705,4.284306,4.959618,4.50187633333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.148006,7.55289,6.508553,7.40314966666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.043823,5.078656,4.828995,5.317158
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.440054,5.573257,5.187434,5.73358166666667
