"","sample","tissue","endometriosis","severity","p225554_s_at","p225521_at","ANAPC7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.66775,7.254515,7.9611325
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.821766,7.34138,8.081573
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.875496,4.740871,6.8081835
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.636748,5.525537,7.0811425
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.462392,6.934401,7.6983965
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.8614,6.139559,7.5004795
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.724268,4.960305,6.8422865
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.077648,6.27894,7.678294
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.099072,6.329368,7.71422
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.434807,6.595565,7.515186
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.579973,7.25433,7.9171515
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.823125,6.999283,7.911204
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.081407,5.393299,7.237353
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.278066,6.586774,7.93242
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.916094,7.122935,8.0195145
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.440864,6.876272,7.658568
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.662679,6.476184,7.5694315
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.371343,6.094197,7.23277
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.225953,5.784433,7.005193
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.385239,4.963936,6.1745875
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.219518,6.636989,7.4282535
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.663321,5.598694,6.6310075
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.019989,5.457595,6.738792
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.064375,5.019864,6.5421195
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.482417,4.460971,5.971694
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.127892,4.488114,5.808003
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.520818,4.740871,6.1308445
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.323167,5.928826,7.1259965
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.568704,4.611374,6.090039
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.610964,4.870427,6.2406955
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.572515,5.411527,6.992021
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.095441,6.113662,7.1045515
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.365172,4.261781,5.8134765
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.929625,4.309825,5.619725
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.439206,7.696522,8.067864
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.780095,5.194112,6.4871035
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.532936,4.625969,6.0794525
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.159242,6.94091,7.550076
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.760752,5.064349,6.4125505
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.668463,5.037589,6.353026
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.430665,6.115396,7.2730305
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.442322,4.621378,6.03185
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.321112,4.367108,5.84411
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.072849,5.706046,6.8894475
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.445773,4.740871,6.093322
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.019116,6.324769,7.1719425
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.824834,4.416144,6.120489
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.826445,4.795649,6.311047
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.29227,4.225963,5.7591165
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.865694,4.740871,5.8032825
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.20366,4.236638,5.720149
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.783528,4.396234,6.089881
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.888576,5.833876,6.861226
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.997428,6.275099,7.1362635
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.556718,7.107771,7.8322445
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.375746,7.855198,8.115472
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.17648,6.339319,7.2578995
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.374009,6.641472,7.5077405
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.605559,7.39781,8.0016845
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.057832,6.476739,7.2672855
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.918436,6.98877,7.453603
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.453138,6.859696,7.656417
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.467685,7.100686,7.7841855
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.204616,7.048873,7.6267445
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.306962,8.103468,8.205215
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.808412,6.759799,7.7841055
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.63737,6.539958,7.588664
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.721777,7.605624,8.1637005
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.7147,7.681613,8.1981565
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.03997,7.761743,8.4008565
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.256716,7.153712,7.705214
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.689198,7.793836,8.241517
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.747604,7.861562,8.304583
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.916192,7.726034,8.321113
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.875767,8.10492,8.4903435
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.607666,7.676855,8.1422605
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.880534,8.107537,8.4940355
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.467093,7.267358,7.8672255
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.922331,7.74151,8.3319205
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.970044,7.487765,8.2289045
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.927207,7.886707,8.406957
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.742646,7.818998,8.280822
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.24321,5.860338,7.051774
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.692736,7.324586,8.008661
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.483541,7.336447,7.909994
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.226108,4.820596,6.523352
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.059403,5.567524,6.8134635
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.612884,5.200726,6.406805
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.520412,6.564781,7.5425965
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.000254,5.828176,6.914215
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.785348,6.605698,7.195523
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.099393,4.740871,6.420132
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.48326,4.603285,6.0432725
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.23643,6.559022,7.397726
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.01771,5.303975,6.6608425
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.20139,6.088104,7.144747
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.954098,5.047164,6.500631
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.438166,5.238686,6.338426
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.225647,5.429166,6.8274065
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.754442,4.740871,6.7476565
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.431633,6.541913,7.486773
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.864343,6.963101,7.913722
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.603851,6.317595,7.460723
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.913335,5.280604,6.5969695
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.049771,5.481855,6.765813
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.124803,5.967513,7.046158
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.616325,6.706664,7.6614945
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.89461,5.178351,6.5364805
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.628847,6.661484,7.6451655
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.37165,5.961876,7.166763
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.711006,5.996531,6.8537685
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.967086,6.031974,6.99953
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.531748,7.243597,7.8876725
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.21622,6.854923,7.5355715
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.678156,6.84834,7.763248
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.549625,5.907919,7.228772
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.632488,5.734042,7.183265
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.456901,7.006417,8.231659
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.096057,6.175296,7.6356765
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.637948,6.560502,8.099225
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.83123,7.980209,8.4057195
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.859407,7.813894,8.3366505
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.079885,7.845679,8.462782
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.721119,8.018523,8.369821
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.899869,7.927879,8.413874
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.328835,7.2816,7.8052175
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.570573,7.674652,8.1226125
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.81873,7.3819,8.100315
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.300629,7.805261,8.052945
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.25082,8.246312,8.748566
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.158974,7.001504,7.580239
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.632084,8.136984,8.384534
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.887554,7.289982,8.088768
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.756296,7.811175,8.2837355
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.905713,8.194378,8.5500455
