"","sample","tissue","endometriosis","severity","p1558738_at","p59625_at","p221566_s_at","NOL3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.798634,7.825176,6.89823,7.50734666666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.550656,7.930651,6.910269,7.13052533333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.326923,6.296844,5.384334,6.33603366666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.190533,7.617273,7.008164,7.60532333333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.894587,6.584726,5.941192,6.47350166666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.964197,7.690881,6.935834,7.530304
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.942876,7.846939,6.166809,7.31887466666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.471912,7.827728,5.892275,7.06397166666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.238931,7.602199,6.725122,7.18875066666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.658888,7.233743,6.635264,6.84263166666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.675132,6.038264,5.394424,6.03594
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.668762,7.369345,5.837275,6.62512733333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.20645,7.953725,5.646336,6.60217033333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.689245,6.421008,4.976679,6.02897733333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.572725,7.63507,6.398665,7.20215333333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.41172,8.28463,7.075561,7.92397033333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.968935,7.607178,6.816616,7.464243
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.512454,7.737384,6.909382,7.38640666666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.393097,6.959938,6.010783,6.78793933333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.238931,8.232874,8.543508,8.00510433333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.323303,8.759098,8.44467,8.17569033333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.84253,8.934676,8.635969,8.137725
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.238931,7.921781,7.279644,7.48011866666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.650701,8.655042,8.753331,8.01969133333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.548795,8.070112,8.476215,7.698374
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.583199,9.888626,9.532992,9.00160566666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.246435,7.875635,8.272208,7.46475933333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.136212,6.597777,6.407039,6.38034266666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.796033,8.510449,7.721352,8.009278
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.397813,8.182973,7.679969,7.753585
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.909051,7.301465,7.341691,7.184069
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.27856,6.881608,6.473429,6.211199
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.884499,8.043935,7.916115,7.28151633333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.588131,8.413707,8.860168,7.62066866666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.480808,8.404545,7.799539,7.894964
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.027572,9.225257,9.318465,8.19043133333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.543258,7.946937,7.179564,7.223253
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.489188,8.061556,7.406217,7.65232033333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.71559,7.815824,7.538134,7.356516
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.563185,9.212713,8.612897,8.46293166666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.886389,7.064524,6.553352,7.16808833333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.086978,8.2561,8.612168,7.65174866666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.238931,8.436674,7.863552,7.84638566666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.471864,7.594161,7.177779,7.41460133333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.133799,8.664427,8.700834,7.83302
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.900628,7.53858,7.373955,7.27105433333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.728882,8.578962,8.450129,7.91932433333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.351209,8.396761,8.57598,8.10798333333333
