"","sample","tissue","endometriosis","severity","p220145_at","p228423_at","MAP9"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.932332,9.833202,8.382767
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.730652,7.546364,6.138508
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.825041,6.40641,5.6157255
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.25091,6.972408,5.611659
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.702355,7.905817,6.804086
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.994388,7.393893,6.1941405
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.110019,5.17713,4.6435745
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.010303,7.922806,6.4665545
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.445362,8.360908,6.903135
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.118305,8.117805,6.618055
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.487458,8.597442,7.04245
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.47914,8.613593,7.0463665
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.681867,8.087094,6.8844805
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.75197,8.244487,6.9982285
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.862693,8.992256,7.4274745
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.016098,7.787832,6.401965
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.954084,7.846393,6.4002385
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.710003,8.28464,6.9973215
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.303301,8.053397,6.678349
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.738049,6.50129,5.6196695
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.47416,7.625446,6.549803
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.086005,6.891134,5.9885695
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.01711,6.915135,5.9661225
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.721073,6.847855,4.784464
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.3634,6.396775,4.8800875
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.188276,7.096301,5.1422885
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.452254,5.694321,4.0732875
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.674848,7.705523,6.1901855
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.456001,7.199787,4.827894
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.407818,7.126856,5.267337
