"","sample","tissue","endometriosis","severity","p1553118_at","p229253_at","THEM4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.564805,10.355356,9.9600805
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.997015,8.193765,8.59539
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.690337,5.097743,5.39404
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.739054,8.857379,8.2982165
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.507328,7.148175,6.8277515
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.477972,7.136061,6.8070165
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.330714,4.766109,5.5484115
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.032574,5.970987,5.5017805
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.672856,10.808492,10.740674
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.45741,7.01813,6.73777
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.691206,6.65155,6.171378
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.58127,6.2797,5.930485
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.601761,8.960615,8.781188
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.959625,5.909178,5.4344015
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.288247,9.464456,9.3763515
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.628783,8.269952,8.4493675
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.095283,6.458455,5.776869
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.833468,6.932818,6.883143
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.933947,7.053523,6.993735
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.741277,5.543003,5.64214
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.156348,7.147602,7.651975
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.955455,5.373767,5.164611
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.255937,5.505876,4.8809065
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.221325,5.338639,4.779982
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.062792,4.532264,3.797528
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.78648,5.586018,5.186249
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.048709,5.701906,4.3753075
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.255937,6.257002,5.2564695
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.662419,7.318368,5.9903935
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.062792,4.384916,3.723854
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.925238,5.943031,4.9341345
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.209022,5.093715,4.6513685
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.100433,3.792319,3.446376
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.837153,4.726529,4.281841
