"","sample","tissue","endometriosis","severity","p36907_at","p204056_s_at","p215649_s_at","MVK"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.245065,5.122845,5.281306,5.21640533333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.171253,5.583586,5.355332,5.370057
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.903192,5.122845,5.651134,5.559057
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.916998,4.636884,5.784956,5.112946
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.473758,5.334386,5.393821,5.400655
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.898183,5.45668,6.134756,5.49653966666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.749063,6.176089,6.811406,6.24551933333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.238381,4.72992,4.502388,4.823563
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.911129,4.757449,6.084236,5.250938
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.370219,5.100652,5.627056,5.36597566666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.606948,5.122845,6.039326,5.58970633333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.370422,4.757518,5.348729,5.15888966666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.102552,5.122845,5.099682,5.10835966666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.961241,4.976954,5.099682,5.01262566666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.300638,5.122845,4.502388,4.97529033333333
