"","sample","tissue","endometriosis","severity","p222275_at","p227600_at","MRPS30"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.634583,6.239183,6.936883
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.51473,6.562681,7.0387055
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.289388,3.431446,5.360417
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.212858,5.57056,6.391709
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.108486,6.709509,7.4089975
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.444185,5.103532,6.2738585
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.447025,4.014211,5.230618
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.216302,5.49499,6.855646
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.288316,5.927806,7.108061
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.074493,6.155836,6.6151645
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.408595,6.468896,7.4387455
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.657622,5.927806,6.792714
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.744578,5.103247,5.9239125
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.28784,6.598521,7.4431805
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.142295,6.126083,7.134189
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.096769,6.203755,7.150262
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.047576,6.082573,7.0650745
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.95182,6.382077,7.1669485
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.177021,6.431693,7.304357
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.256268,5.62332,6.439794
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.72985,5.521541,6.6256955
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.098415,5.660187,6.379301
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.974662,6.184676,6.579669
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.338398,5.103532,6.220965
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.879126,5.103532,5.991329
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.879126,4.887195,5.8831605
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.242183,4.63304,5.4376115
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.262357,6.048203,6.65528
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.549962,5.038866,6.294414
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.009853,4.364069,5.686961
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.975997,4.931489,6.453743
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.225128,5.18984,6.207484
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.762706,4.266033,5.5143695
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.879126,4.836928,5.858027
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.065058,6.478079,7.2715685
