"","sample","tissue","endometriosis","severity","p225136_at","p238013_at","PLEKHA2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.985218,5.360784,7.673001
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.276783,5.483865,7.380324
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.117999,4.502265,6.810132
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.003357,2.659866,5.8316115
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.736607,2.649496,6.1930515
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.969688,3.015505,5.9925965
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.375852,3.028012,5.701932
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.858649,3.435319,6.646984
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.684539,5.028157,7.356348
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.109263,2.327285,5.718274
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.744971,5.327254,7.5361125
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.7256,5.545736,7.635668
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.505749,3.563969,6.034859
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.693989,4.752985,7.223487
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.916113,5.918844,7.9174785
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.134553,4.39845,6.7665015
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.816425,2.959232,5.8878285
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.618555,5.457646,7.5381005
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.986422,5.84737,7.416896
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.628817,5.589052,7.1089345
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.349934,5.706997,7.5284655
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.21019,7.324223,8.2672065
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.600708,8.683263,9.1419855
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.354468,3.245173,6.2998205
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.868489,3.315684,6.0920865
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.422819,2.443952,5.4333855
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.867678,4.904943,6.8863105
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.812498,5.483865,7.6481815
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.922439,5.483865,7.703152
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.745691,6.645905,8.195798
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.905198,7.944383,8.9247905
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.264882,2.890345,6.5776135
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.20264,6.112587,7.1576135
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.960585,2.463319,5.711952
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.187242,6.842648,8.514945
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.345327,3.62919,6.4872585
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.770815,6.999638,7.8852265
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.888291,6.179815,8.034053
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.239959,5.483865,7.361912
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.632515,7.274089,7.953302
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.112282,7.934097,9.0231895
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.057845,2.89015,5.9739975
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.215382,6.434819,7.8251005
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.776464,7.458398,8.617431
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.275154,7.379421,8.3272875
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.812863,6.390141,8.101502
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.968352,4.820349,6.8943505
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.04456,7.565744,8.305152
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.075901,6.851817,7.963859
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.673655,6.396119,7.534887
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.06595,6.506895,7.7864225
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.317094,5.483865,7.4004795
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.269402,6.333095,7.8012485
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.032082,5.647488,7.839785
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.977885,6.764336,8.3711105
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.76585,6.671773,8.2188115
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.46677,6.947646,8.207208
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.166048,6.389707,7.7778775
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.706712,5.815976,7.761344
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.172868,5.483865,7.3283665
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.399267,5.901772,7.6505195
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.645984,4.98278,7.314382
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.86537,6.521413,8.1933915
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.807072,5.375064,7.591068
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.241666,6.797168,8.519417
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.707049,3.375081,6.541065
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.242737,3.369047,6.305892
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.659615,7.476574,9.0680945
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.762487,5.770824,8.2666555
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.230254,4.618757,7.4245055
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.407853,5.308673,7.858263
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.401785,5.483865,7.942825
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.386165,4.468414,7.4272895
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.853124,5.264225,8.0586745
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.6255,5.070644,7.848072
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.317626,4.580221,7.4489235
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.483031,6.900105,8.691568
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.935963,6.124737,8.03035
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.567897,5.615571,8.091734
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.407311,6.601591,8.504451
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.3194,5.283832,7.801616
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.507588,4.520457,7.5140225
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.848198,7.854179,8.8511885
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.38127,6.772623,8.0769465
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.56635,7.002724,8.284537
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.405375,6.945358,8.1753665
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.247433,7.215071,8.231252
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.230255,6.435746,7.8330005
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.616769,7.421229,8.518999
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.494716,6.905283,8.1999995
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.414595,6.578656,7.9966255
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.692079,6.389836,8.0409575
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.120726,6.529183,7.8249545
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.531588,6.995657,8.2636225
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.180407,6.528393,7.8544
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.10984,7.342339,8.7260895
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.879684,7.072207,8.4759455
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.934028,6.775617,7.8548225
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.630576,8.70591,9.168243
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.428041,6.405375,7.916708
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.866151,7.606483,8.736317
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.227677,8.050515,9.139096
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.760887,7.107475,8.434181
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.52157,8.180113,8.8508415
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.565896,7.31144,8.438668
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.860061,7.500289,8.680175
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.167938,2.414585,6.2912615
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.74559,7.760012,8.752801
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.191508,6.970202,8.580855
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.883824,7.41896,8.651392
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.251524,4.618593,6.9350585
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.026648,8.259872,9.14326
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.850882,5.911031,7.8809565
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.224066,5.99592,7.609993
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.825641,5.22617,7.0259055
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.747221,5.744776,7.2459985
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.460943,5.514428,7.4876855
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.833807,6.93674,8.3852735
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.274582,6.092564,7.683573
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.913315,6.533663,8.223489
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.401875,5.42912,7.9154975
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.223094,5.483865,8.3534795
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.981522,5.381254,8.181388
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.734148,4.237587,6.9858675
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.70585,5.479154,8.092502
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.33081,6.269014,8.299912
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.404267,5.953245,8.178756
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.079204,4.809078,7.444141
