"","sample","tissue","endometriosis","severity","p203374_s_at","p203375_s_at","TPP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.860301,8.986762,7.9235315
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.551604,7.545218,7.048411
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.370838,8.552136,7.461487
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.720796,8.773893,7.7473445
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.370838,7.79779,7.084314
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.551604,8.19765,7.374627
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.940244,8.41209,7.676167
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.434475,8.453961,7.444218
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.196177,9.300147,8.248162
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.623239,9.867168,9.2452035
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.953078,9.237831,8.0954545
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.370838,8.273934,7.322386
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.880083,8.753994,8.3170385
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.09682,8.849827,7.9733235
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.012761,9.042051,8.027406
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.786916,8.921574,7.854245
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.504973,9.343411,8.424192
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.225964,9.11803,8.171997
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.991956,8.87124,7.931598
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.370838,8.465415,7.4181265
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.212239,7.622003,6.917121
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.370838,7.997075,7.1839565
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.748849,8.093234,7.4210415
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.370838,8.317232,7.344035
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.676039,7.585046,6.6305425
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.064497,8.238623,6.15156
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.154644,8.159127,6.6568855
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.606207,8.427278,7.5167425
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.368114,8.367614,6.867864
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.182352,8.114165,6.6482585
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.899631,7.908938,6.9042845
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.370838,8.554142,7.46249
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.025294,7.159725,5.5925095
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.025294,7.125849,5.5755715
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.123557,9.25614,8.1898485
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.347209,7.927217,7.137213
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.060233,8.59608,7.3281565
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.59317,8.718365,7.6557675
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.467347,8.554356,7.0108515
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.24518,8.83927,7.542225
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.8468,8.786149,7.3164745
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.53103,7.429385,6.4802075
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.998439,7.85015,6.4242945
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.551604,8.444827,7.4982155
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.279468,8.218066,7.248767
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.317825,8.985281,7.651553
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.308018,8.084387,7.1962025
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.370838,8.291108,7.330973
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.478692,7.838045,6.6583685
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.025294,8.004095,6.0146945
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.65258,7.90847,6.280525
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.888515,7.646956,6.7677355
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.57533,8.776876,7.176103
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.996064,7.631249,6.3136565
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.604697,9.372832,7.9887645
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.07209,9.397295,8.2346925
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.991749,8.740894,7.3663215
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.563865,9.245877,8.404871
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.09715,9.598652,8.847901
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.370838,7.761648,7.066243
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.420614,8.123985,7.2722995
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.050366,9.480574,8.76547
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.441394,9.164953,8.3031735
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.425892,9.602332,8.514112
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.319312,9.505815,8.4125635
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.801817,8.986615,7.894216
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.22716,9.077509,8.1523345
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.134981,9.975591,9.055286
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.439818,9.574409,9.0071135
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.563473,10.040239,9.301856
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.000388,10.117393,9.5588905
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.235285,9.585702,8.9104935
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.645168,9.941905,9.2935365
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.471206,10.032868,9.252037
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.36195,9.726451,9.0442005
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.579945,9.758206,9.1690755
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.059809,9.592016,8.8259125
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.573961,9.621309,9.097635
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.30086,9.838438,9.069649
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.953478,9.234047,8.0937625
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.995284,9.758577,8.8769305
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.138488,9.712869,8.9256785
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.254534,8.947539,8.1010365
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.400907,8.996391,8.198649
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.149773,9.197499,8.173636
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.501149,8.376701,7.438925
